"gene","class"
"ENSG00000081041","all"
"ENSG00000171855","all"
"ENSG00000115009","all"
"ENSG00000118503","all"
"ENSG00000100906","all"
"ENSG00000163734","all"
"ENSG00000136244","all"
"ENSG00000077150","all"
"ENSG00000144802","all"
"ENSG00000104856","all"
"ENSG00000100918","all"
"ENSG00000271503","all"
"ENSG00000056558","all"
"ENSG00000130589","all"
"ENSG00000125347","all"
"ENSG00000178860","all"
"ENSG00000229677","all"
"ENSG00000163739","all"
"ENSG00000154451","all"
"ENSG00000182393","all"
"ENSG00000225349","all"
"ENSG00000163660","all"
"ENSG00000134070","all"
"ENSG00000221978","all"
"ENSG00000108691","all"
"ENSG00000185507","all"
"ENSG00000128342","all"
"ENSG00000243649","all"
"ENSG00000232810","all"
"ENSG00000100739","all"
"ENSG00000115008","all"
"ENSG00000169245","all"
"ENSG00000171223","all"
"ENSG00000090339","all"
"ENSG00000174501","all"
"ENSG00000167615","all"
"ENSG00000126709","all"
"ENSG00000276550","all"
"ENSG00000105327","all"
"ENSG00000185338","all"
"ENSG00000023445","all"
"ENSG00000125538","all"
"ENSG00000163874","all"
"ENSG00000198888","all"
"ENSG00000198786","all"
"ENSG00000156218","all"
"ENSG00000013441","all"
"ENSG00000168010","all"
"ENSG00000228253","all"
"ENSG00000248527","all"
"ENSG00000198695","all"
"ENSG00000160888","all"
"ENSG00000112149","all"
"ENSG00000132530","all"
"ENSG00000111816","all"
"ENSG00000137331","all"
"ENSG00000135976","all"
"ENSG00000168675","all"
"ENSG00000169871","all"
"ENSG00000146232","all"
"ENSG00000117616","all"
"ENSG00000163545","all"
"ENSG00000222009","all"
"ENSG00000069399","all"
"ENSG00000128016","all"
"ENSG00000198763","all"
"ENSG00000271383","all"
"ENSG00000101104","all"
"ENSG00000173209","all"
"ENSG00000227671","all"
"ENSG00000145779","all"
"ENSG00000198899","all"
"ENSG00000105939","all"
"ENSG00000132680","all"
"ENSG00000105371","all"
"ENSG00000125730","all"
"ENSG00000215252","all"
"ENSG00000092529","all"
"ENSG00000185885","all"
"ENSG00000204681","all"
"ENSG00000212907","all"
"ENSG00000172432","all"
"ENSG00000249755","all"
"ENSG00000050344","all"
"ENSG00000184557","all"
"ENSG00000206344","all"
"ENSG00000214021","all"
"ENSG00000147689","all"
"ENSG00000121716","all"
"ENSG00000219626","all"
"ENSG00000140379","all"
"ENSG00000198712","all"
"ENSG00000172650","all"
"ENSG00000203852","all"
"ENSG00000163046","all"
"ENSG00000143067","all"
"ENSG00000067798","all"
"ENSG00000204177","all"
"ENSG00000163840","all"
"ENSG00000109320","all"
"ENSG00000087074","all"
"ENSG00000138755","all"
"ENSG00000165949","all"
"ENSG00000110944","all"
"ENSG00000124549","all"
"ENSG00000106346","all"
"ENSG00000132424","all"
"ENSG00000162924","all"
"ENSG00000184371","all"
"ENSG00000107968","all"
"ENSG00000102878","all"
"ENSG00000198886","all"
"ENSG00000117228","all"
"ENSG00000057657","all"
"ENSG00000010030","all"
"ENSG00000188234","all"
"ENSG00000206149","all"
"ENSG00000122257","all"
"ENSG00000177989","all"
"ENSG00000132109","all"
"ENSG00000108342","all"
"ENSG00000003402","all"
"ENSG00000188599","all"
"ENSG00000025708","all"
"ENSG00000169429","all"
"ENSG00000170345","all"
"ENSG00000164136","all"
"ENSG00000060491","all"
"ENSG00000197536","all"
"ENSG00000185215","all"
"ENSG00000185485","all"
"ENSG00000184465","all"
"ENSG00000223705","all"
"ENSG00000073756","all"
"ENSG00000137802","all"
"ENSG00000198804","all"
"ENSG00000108848","all"
"ENSG00000162645","all"
"ENSG00000064932","all"
"ENSG00000176444","all"
"ENSG00000153234","all"
"ENSG00000272886","all"
"ENSG00000106133","all"
"ENSG00000112096","all"
"ENSG00000144655","all"
"ENSG00000173918","all"
"ENSG00000276966","all"
"ENSG00000185880","all"
"ENSG00000151014","all"
"ENSG00000120217","all"
"ENSG00000140464","all"
"ENSG00000104804","all"
"ENSG00000165494","all"
"ENSG00000136514","all"
"ENSG00000266074","all"
"ENSG00000162692","all"
"ENSG00000173212","all"
"ENSG00000180828","all"
"ENSG00000003756","all"
"ENSG00000242338","all"
"ENSG00000145365","all"
"ENSG00000176155","all"
"ENSG00000150630","all"
"ENSG00000228409","all"
"ENSG00000152778","all"
"ENSG00000140398","all"
"ENSG00000197837","all"
"ENSG00000169248","all"
"ENSG00000213918","all"
"ENSG00000138135","all"
"ENSG00000197774","all"
"ENSG00000135111","all"
"ENSG00000127666","all"
"ENSG00000138834","all"
"ENSG00000114857","all"
"ENSG00000178685","all"
"ENSG00000283091","all"
"ENSG00000111011","all"
"ENSG00000159128","all"
"ENSG00000133106","all"
"ENSG00000167483","all"
"ENSG00000223959","all"
"ENSG00000233586","all"
"ENSG00000270672","all"
"ENSG00000145632","all"
"ENSG00000147454","all"
"ENSG00000115919","all"
"ENSG00000132481","all"
"ENSG00000145777","all"
"ENSG00000102921","all"
"ENSG00000130813","all"
"ENSG00000119698","all"
"ENSG00000135473","all"
"ENSG00000187479","all"
"ENSG00000215908","all"
"ENSG00000171621","all"
"ENSG00000067082","all"
"ENSG00000105376","all"
"ENSG00000282888","all"
"ENSG00000113240","all"
"ENSG00000184979","all"
"ENSG00000175265","all"
"ENSG00000166012","all"
"ENSG00000164920","all"
"ENSG00000256618","all"
"ENSG00000270379","all"
"ENSG00000196123","all"
"ENSG00000269028","all"
"ENSG00000225697","all"
"ENSG00000164400","all"
"ENSG00000168398","all"
"ENSG00000095951","all"
"ENSG00000145901","all"
"ENSG00000105559","all"
"ENSG00000272645","all"
"ENSG00000178607","all"
"ENSG00000243716","all"
"ENSG00000183486","all"
"ENSG00000006062","all"
"ENSG00000113108","all"
"ENSG00000177606","all"
"ENSG00000214176","all"
"ENSG00000137776","all"
"ENSG00000258367","all"
"ENSG00000173846","all"
