gene	21373_1_7	21373_1_22	21373_1_46	21373_1_73	21373_1_74	21373_1_99	21373_1_107	21373_1_114	21373_1_123	21373_1_124	21373_1_131	21373_1_137	21373_1_138	21373_1_153	21373_1_177	21373_1_178	21373_1_181	21373_1_188	21373_1_192	21373_1_195	21373_1_207	21373_1_208	21373_1_234	21373_1_275	21373_1_276	21373_1_295	21373_1_334	21373_1_341	21373_1_360	21373_1_365
ENSMUSG00000030105	20.01	42.01	0	156.077	1.01	44.01	0	128.01	885.01	108.01	25.01	136.055	2.01	33.01	0	23.01	0	1.01	0	43.01	1.01	17.02	229.049	7.01	1059.89	24.01	1.01	4.01	58.02	35.02
ENSMUSG00000042428	0	0	0	0	0	0	0	0	0	0	0	0	0	27.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096054	0	0	0	9.37654	0	0	0	0	0	7.01701	313.115	0	1.02775	0	47.3111	35.01	0	1.03823	8.5996	0	1.01	0	0	0	0	0	0	28.2132	0	0
ENSMUSG00000074445	0	0	0	0	0	0	0	1.01	0	0	0	0	20.3735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000046532	10.01	28.01	0	0	0	12.01	0	0	2.01	4.01	0	87.01	0	0	0	224.71	0	0	0	0	0	1.01	0	208.01	0	0	0	0	0	65.01
ENSMUSG00000020495	0	0	0	0	0	0	34.0868	6.01	0	0	174.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.01	1.01	0
ENSMUSG00000058979	1.01	0	0	12.02	0	0	0	0	0	0	0	0	20.2354	0	0	0	0	0	0	1.01	0	0	0	3.24311	0	0	0	0	0	0
ENSMUSG00000045903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041889	0	0	0	0	0	0	0	0	0	0	0	44.0274	0	0	0	0	0	0	0	11.01	0	1.01293	0	0	0	0	0	1.01	0	0
ENSMUSG00000021392	0	0	0	0	67.01	1.01	0	0	0	0	0	146.01	0	46.01	0	0	0	0	0	0	0	1.01	0	35.0131	206.01	0	0	0	0	0
ENSMUSG00000099569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103.01	0
ENSMUSG00000027333	0	0	0	0	2.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000019297	0	0	0	0	0	0	0	2.01	0	92.1121	0	88.01	0	0	0	5.01	0	0	0	0	0	0	2.01	0	148.01	0	0	41.795	0	17.01
ENSMUSG00000091228	27.1321	28.3938	0	23.9972	27.1641	41.4844	36.0069	33.1088	218.946	103.666	43.1903	321.512	7.74868	0	77.9493	216.107	464.06	0	197.236	0	18.5202	0	367.571	233.129	0	26.9066	208.508	0	0	195.459
ENSMUSG00000079560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025237	0	0	228.01	0	0	0	0	0	0	39.02	0	0	0	0	0	0	0	0	0	0	0	0	0	13.01	0	0	1.01	8.01	0	6.01
ENSMUSG00000030786	0	0	1.61132	5.01071	94.2951	0	0	0	0	0	4.20742	0	3.41544	0	1.01	3.01346	0	0	0	2.08639	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000006299	0	6.02	8.0185	0	83.01	47.01	39.01	71.01	125.663	685.06	2.01	170.01	0	17.01	0	338.169	0	0	1.01	18.01	102.01	1.01	383.01	0	1.01	9.02	1.01	81.02	55.03	38.01
ENSMUSG00000022375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.01	0
ENSMUSG00000081046	0	0	1.01	0	0	0	0	0	0	0	3.01	0	1.04054	0	1.01019	1.01	1.03707	0	0	0	0	1.11822	1.01	5.01	0	0	1.01	0	0	0
ENSMUSG00000029608	0	8.01	9.14928	1.01	0	0	0	0	0	0	4.01	6.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.1767	0	0	0
ENSMUSG00000025872	40.01	14.02	0	1.01	0	0	0	0	2.01	16.01	19.01	0	0	28.01	0	0	2.01	1.01	19.01	3.01	0	3.01	252.006	12.01	595.007	1.01	0	14.01	1.01	0
ENSMUSG00000086965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025058	2.01	0	0	2.01	0	0	0	0	0	0	3.01029	0	8.01	0	5.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036792	0	1.1248	1.07831	75.7546	3.17483	1.16302	30.4354	0	0	0	0	2.30689	3.01	2.01	0	0	0	0	1.01	2.04565	0	0	0	0	1.05202	1.01	42.7419	0	14.01	0
ENSMUSG00000015002	89.1378	25.0356	4.03802	4.16865	5.04221	45.3697	1.01159	0	2.04559	1.01765	165.708	156.311	6.0106	63.01	33.1068	141.608	1.371	5.05716	70.5078	121.099	7.025	13.01	114.945	4.31174	6.02726	48.01	4.08076	89.01	88.0322	12.01
ENSMUSG00000021287	0	0	31.01	0	0	0	2.07769	0	0	0	0	9.11182	0	0	0	0	0	2.02599	0	0	0	0	0	184.756	0	0	0	0	0	0
ENSMUSG00000021610	37.01	39.01	0	150.055	0	41.01	0	18.01	587.01	0	0	171.045	0	34.01	0	442.01	1.01	12.01	0	1.01	55.01	1.01	0	0	0	0	0	52.01	144.01	0
ENSMUSG00000024163	0	28.01	0	0	2.07556	2.01	0	2.06086	0	4.33799	144.04	41.0567	0	1.12059	0	59.01	2.10056	4.01	9.55628	1.02169	13.4708	6.12411	0	39.1267	0	0	0	15.2148	0	0
ENSMUSG00000105775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026307	0	6.01	0	0	0	0	0	0	0	0	0	9.01	0	0	0	68.01	0	6.01	0	1.01	0	4.01	0	0	0	0	0	0	0	0
ENSMUSG00000071489	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020152	25.6579	80.02	14.9053	67.3682	134.091	230.87	180.997	49.688	833.003	1240.28	288.904	1235.36	572.048	143.02	100.01	532.481	1361.45	261.145	962.235	126.789	135.301	38.01	786.62	369.827	235.548	24.2748	635.981	104.164	199.03	105.01
ENSMUSG00000041241	156.01	0	0	165.02	0	0	0	0	1.01	0	341.143	133.01	0	4.01	0	0	0	0	679.01	0	0	0	87.0235	139.02	0	99.01	0	0	79.01	0
ENSMUSG00000081334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005540	0	0	0	0	3.04598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021368	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	149.149	0	0	0	0	47.01	0	0	0	0	0	0	0	0	0
ENSMUSG00000094794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000078812	253.02	689.238	446.02	9.01	444.817	762.633	585.001	198.02	3390.39	2338.93	2392.13	3048.52	508.201	890.993	363.315	3160.73	7417.11	122.185	872.419	598.224	534.32	122.409	7412.86	2935.57	3270.96	780.326	766.645	758.062	321.864	278.02
ENSMUSG00000048655	0	0	0	0	12.0134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000059741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0176	0	0	0	0	0
ENSMUSG00000032504	0	164.02	239.02	241.02	3.01009	11.01	57.01	1.01	53.01	291.226	0	108.394	0	69.183	0	552.029	988.289	7.33416	1299.02	38.4806	43.01	8.01	320.022	45.02	1.01	3.98748	2.01	57.0967	0	82.02
ERCC-00039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050855	0	0	5.34894	9.65396	2.28431	0	0	0	0	0	0	1.01038	0	0	0	0	0	0	0	0	0	0	1.04404	1.02861	0	1.06222	0	0	0	0
ENSMUSG00000021280	0	0	0	0	0	0	0	0	0	76.01	0	0	0	3.01	0	19.01	0	0	0	13.01	33.01	0	0	0	0	0	0	0	19.01	0
ENSMUSG00000026163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000030374	5.13468	0	39.01	1.65641	0	0	0	0	30.9991	161.847	3.26986	242.037	0	0	0	1.55556	0	0	0	64.01	0	3.01	0	0	0	0	1.01228	12.01	18.7718	0
ENSMUSG00000085787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.46047	0	0	0	0	0	0	0
ENSMUSG00000036306	0	1.01326	0	0	0	0	0	0	0	0	2.01	1.01	0	0	0	0	9.01	0	0	0	0	2.01	0	3.0164	0	3.01	2.025	0	0	0
ENSMUSG00000045362	0	58.5173	0	1.0104	5.33421	1.11579	50.125	0	5.01154	1.37453	404.04	9.44117	0	0	2.20877	0	1094.09	51.2533	2.07985	0	0	0	0	2.11801	0	0	0	0	137.078	0
ENSMUSG00000034297	153.05	0	314.308	91.0158	0	0	0	0	16.01	381.02	214.02	1.01	0	1.01	0	48.01	1.01	6.01	0	4.37542	0	0	0	189.01	0	9.01	0	38.01	47.01	7.01
ENSMUSG00000046714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036199	49.2501	40.109	95.2116	22.01	41.0423	57.01	57.01	11.01	218.287	189.78	0	404.338	95.01	26.2749	28.01	208.393	536.564	25.0444	736.054	34.01	71.01	32.0241	404.77	381.273	2.01019	6.02458	198.041	27.01	39.01	81.01
ENSMUSG00000060012	0	0	0	0	0	7.01	0	0	0	0	0	0	0	0	0	42.01	0	0	0	6.01	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033439	0	15.01	309.039	0	0	31.11	0	0	0	0	0	0	49.0598	0	0	0	0	4.01	0	0	0	1.01	0	15.6808	0	42.8217	0	0	0	4.01
ENSMUSG00000039671	13.4668	0	68.0253	0	13.4905	0	8.06363	39.1735	22.1219	6.24843	22.7358	69.967	26.6459	10.2203	478.108	5.75928	22.9254	103.556	9.90339	2.83226	0	15.7113	19.3715	109.205	0	4.94968	60.645	9.63756	72.01	24.7468
ENSMUSG00000032298	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022594	0	0	0	0	0	0	0	0	0	39.0175	0	92.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000055958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000046876	39.01	2.01	3.52535	3.03931	39.8475	4.01013	23.2272	0	6.72888	211.311	1.01093	72.1953	3.23599	52.01	0	5.02645	0	3.90695	0	25.01	29.7994	33.01	198.015	152.922	142.164	0	0	0	0	0
ENSMUSG00000074646	0	0	2.46944	5.31792	3.01	0	0	0	0	0	10.2413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000078192	0	0	0	0	0	0	0	0	0	0	0	1.01154	0	0	0	0	2.01419	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022900	0	0	0	0	0	1.01	0	0	0	1.01539	1.01228	0	0	0	0	0	0	0	0	0	0	0	0	3.11281	0	0	0	0	0	0
ENSMUSG00000030472	0	0	0	3.01	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038459	0	8.01	0	0	2.0106	67.01	0	3.01	0	211.01	0	279.287	0	0	1.01	72.01	0	0	0	6.01	0	1.01	0	0	76.0093	0	0	31.01	0	8.01
ENSMUSG00000099405	0	0	0	17.3232	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001441	1.01003	29.02	27.1727	9.16654	128.393	5.01	43.0484	2.04705	3.90424	85.293	218.079	14.3185	27.653	0	7.58864	59.02	1.08554	406.539	4.91216	5.54431	4.26662	11.5593	52.2335	11.1183	3.53933	0	13.2607	13.1571	12.01	0
ENSMUSG00000030754	81.01	94.0567	0	25.01	1.01	271.309	9.01	187.01	68.6909	297.01	220.01	3.01	0	30.01	0	252.01	0	0	756.635	99.1617	102.286	72.01	390.01	278.01	0	0	1.01	113.19	185.01	46.01
ENSMUSG00000091347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
