gene	21373_3_7	21373_3_8	21373_3_21	21373_3_31	21373_3_32	21373_3_50	21373_3_63	21373_3_64	21373_3_99	21373_3_113	21373_3_124	21373_3_131	21373_3_137	21373_3_138	21373_3_154	21373_3_158	21373_3_163	21373_3_167	21373_3_178	21373_3_188	21373_3_191	21373_3_192	21373_3_195	21373_3_208	21373_3_210	21373_3_219	21373_3_231	21373_3_233	21373_3_252	21373_3_275	21373_3_276	21373_3_295	21373_3_302	21373_3_310	21373_3_319	21373_3_326	21373_3_333	21373_3_341	21373_3_342	21373_3_360
ENSRNOG00000028856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000056248	15.0409	0	57.01	0	0	0	211.786	0	108.01	0	0	100.643	5.09989	0	0	0	125.875	0	0	0	0	0	0	67.01	0	199.01	75.0228	1.01	0	0	66.01	201.065	161.01	2.01	0	51.01	0	0	189.096	0
ENSRNOG00000017628	0	0	0	0	39.01	0	0	0	321.446	0	0	0	0	0	0	0	1.01	0	0	204.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.01	0
ENSRNOG00000036576	0	0	265.531	319.01	98.01	0	200.01	274.772	104.537	122.01	0	92.01	0	44.01	0	164.288	242.01	0	12.01	62.01	207.185	0	65.01	146.01	0	374.332	0	0	202.01	185.01	64.01	1.01	0	35.02	0	0	0	0	0	0
ENSRNOG00000012772	9170.03	702.99	915.01	563.01	232.01	537.656	4983.88	1194.49	2566.1	86.491	895.809	1154.32	761.185	768.84	1668.51	4517.42	2046.79	195.389	1295.79	557.819	3.01005	443.01	7771.35	1590.41	12614	433.468	986.434	5.01091	1496.83	6800.09	1111.01	1438.95	1467.63	556.01	140.856	337.788	3101.68	6732.42	4467.5	864.655
ENSRNOG00000019093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000042189	508.641	425.01	433.948	247.01	276.01	385.01	786.239	153.047	301.01	30.01	67.01	267.01	1003.01	0	358.321	745.01	7.01526	250.63	19.01	100.01	0	0	320.01	182.142	70.01	458.535	73.01	1.01001	790.01	597.019	185.01	956.028	479.425	110.01	4.01	8.01	150.01	671.01	341.195	143.01
ENSRNOG00000050729	14.01	0	0	0	0	0	0	0	0	0	0	29.01	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	33.01	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000028622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000010076	0	0	0	0	0	1.01166	2.01143	0	95.3163	1.04568	0	112.49	0	1.01	0	0	1.01156	15.6845	0	10.0193	0	15.01	0	1.01865	0	0	1.01362	1.01215	3.02671	1.0124	0	0	0	51.01	1.01091	0	1.03013	0	0	0
ENSRNOG00000030391	0	0	0	58.01	48.01	135.01	0	0	387.01	0	3.01	171.352	223.812	34.01	5.01	142.9	1.01	1.01	23.01	14.01	0	0	0	41.01	241.01	0	0	0	83.01	21.0275	0	0	0	33.01	1.01	33.01	2.01	0	11.01	334.913
ENSRNOG00000018282	247.01	162.01	207.01	109.01	33.3156	47.01	577.75	156.01	355.01	9.19271	0	774.552	560.544	105.01	287.01	467.01	5.01	0	50.01	0	0	1.01	90.01	231.882	86.101	307.255	535.01	1.01	287.01	689.436	27.01	448.01	813.682	123.01	434.024	110.386	898.099	1469.49	209.01	463.01
ENSRNOG00000054352	502.007	725.868	218.01	177.01	30.01	487.01	1013.39	356.01	1108.01	351.01	147.01	847.493	102.069	49.01	399.01	259.01	1552.51	0	337.929	120.01	1.01	0	775.01	341.679	1170.92	77.953	16.01	0	1176.01	903.322	387.01	307.159	924.01	318.01	70.5459	369.428	2139.78	1614.44	446.01	806.893
ENSRNOG00000003778	0	0	0	0	2.01	0	0	0	87.01	0	0	0	0	2.01	0	0	0	0	0	45.01	0	0	0	0	0	1.01	31.01	0	0	0	0	0	0	0	0	1.01	0	0	0	140.01
ENSRNOG00000006532	2678.11	2825.98	5093.67	2062.31	386.686	1407.17	2460.72	2058.96	2019.39	6825.64	716.909	599.493	8198.42	1061.97	3247.99	4647.3	6705.96	2407.29	578.833	975.642	10273.7	1943.82	4695.45	21199.8	2316.32	3822.07	4755.05	5468.83	6822.59	4203.48	880.08	9017.68	2962.45	841.893	3525.51	887.307	4490.26	8986.25	1075.76	1424.75
ENSRNOG00000027923	75.01	0	0	0	78.02	0	0	0	55.02	0	0	0	0	23.02	0	0	4.01	0	0	0	0	0	0	37.02	0	0	172.416	0	4.01	0	0	0	0	28.01	0	0	97.02	0	37.02	100.02
ENSRNOG00000008643	1.01	5.01	1.01	0	10.01	0	11.01	64.01	195.01	11.01	37.01	66.01	0	11.01	123.01	1.01	0	304.01	0	0	0	0	0	61.01	10.0191	0	139.01	1.01	0	5.01	92.01	179.01	0	0	0	0	0	312.01	0	0
ENSRNOG00000043143	0	74.01	117.01	1.01	0	0	0	0	55.01	0	0	47.01	0	0	0	0	0	1.01	15.01	51.01	0	0	0	79.01	58.01	87.01	0	0	1.01	0	3.01	0	0	0	0	23.01	4.01	0	63.01	0
ENSRNOG00000002579	0	0	1.01328	0	0	0	1.01275	5.3039	0	11.3497	0	0	0	0	0	0	0	0	0	4.01855	0	0	0	2.01836	944.004	0	222.875	11.9234	0	433.216	0	0	188.403	0	0	0	0	638.267	0	0
ENSRNOG00000029046	0	0	0	0	0	0	0	0	0	0	0	0	3.90622	0	4.99435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.574833
ENSRNOG00000058916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.01	0	0	0	9.01	0	0	0	0	0	0	0	0	193.01	134.235	0	0	0	0	0	0	0	0	0	0
