gene	21373_3_39	21373_3_72	21373_3_77	21373_3_78	21373_3_91	21373_3_92	21373_3_96	21373_3_104	21373_3_109	21373_3_110	21373_3_117	21373_3_128	21373_3_133	21373_3_142	21373_3_155	21373_3_156	21373_3_179	21373_3_205	21373_3_229	21373_3_230	21373_3_242	21373_3_259	21373_3_260	21373_3_266	21373_3_291	21373_3_292	21373_3_298	21373_3_305	21373_3_315	21373_3_316	21373_3_322	21373_3_330	21373_3_372
ENSRNOG00000028856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000056248	0	37.01	0	0	71.01	0	7.25194	0	75.01	38.01	0	0	35.2787	0	0	0	117.01	0	150.042	0	33.01	0	0	0	0	0	0	0	159.01	0	0	0	0
ENSRNOG00000017628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202.01	0	0	0	0	0	283.01	1.01	872.779	10.1323	0	0	242.01	0	1.01	0	1.01	1.01	0
ENSRNOG00000036576	164.01	0	0	19.01	286.226	43.01	122.01	119.01	31.01	0	122.01	33.01	0	0	450.01	0	0	0	192.445	27.01	0	0	126.01	11.01	195.23	152.01	2.01	60.01	0	0	42.01	78.01	0
ENSRNOG00000012772	1528.58	2567.68	7281.11	1173.97	8627.53	251.685	2864.95	9017.32	1344.78	1412.74	11293.8	1317.72	10741.7	1608.91	6852.47	3516.26	2837.4	5242.62	8702.25	1274.82	4713.61	9334.52	4555.7	3678.96	2583.63	6796.68	6592.72	259.199	6734.73	899.778	748.01	635.756	3741.75
ENSRNOG00000019093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000042189	727.628	492.01	614.673	259.01	915.842	158.01	249.01	1042.44	244.01	1007.47	2.01	135.01	481.01	288.01	645.01	721.018	540.779	1048.35	1800.78	285.01	48.01	1379.4	21.01	103.01	140.01	825.74	814.01	1891.9	6.01	35.01	154.01	76.01	178.01
ENSRNOG00000050729	0	0	0	0	50.01	0	0	0	53.01	0	0	0	0	43.01	0	0	0	0	0	21.01	0	0	0	0	0	42.9805	0	0	0	0	14.01	0	0
ENSRNOG00000028622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000010076	0	0	0	0	0	0	0	0	0	0	0	5.01	0	0	0	0	0	0	0	0	0	194.785	49.2579	0	0	0	163.722	4.97529	76.5572	0	42.0562	0	0
