gene	21373_7_20	21373_7_37	21373_7_60	21373_7_102	21373_7_106	21373_7_139	21373_7_152	21373_7_160	21373_7_166	21373_7_169	21373_7_175	21373_7_183	21373_7_202	21373_7_204	21373_7_216	21373_7_221	21373_7_225	21373_7_239	21373_7_254	21373_7_262	21373_7_271	21373_7_279	21373_7_304	21373_7_317	21373_7_327	21373_7_340	21373_7_346	21373_7_354	21373_7_358	21373_7_369	21373_7_377	21373_7_381
ENSMMUG00000031161	0	30.01	0	0	0	0	0	20.01	0	7.01	0	80.01	0	0	15.01	0	9.01	0	52.01	22.01	0	0	0	0	7.01	26.01	19.01	23.01	0	0	0	1.01
ENSMMUG00000031606	2.24663	3.62101	1.25173	7.5774	0	1.07884	0	5.83952	13.3023	0	3.55324	14.4324	9.53775	2.87348	2.4129	2.68269	10.9643	6.82286	18.8983	8.43245	1.28149	14.5526	28.6195	8.91757	21.1758	0	6.19923	6.29008	13.6558	8.13647	1.18718	1.67992
ENSMMUG00000002939	0	36.01	3.01	136.153	0	34.01	39.01	14.01	0	12.01	30.01	0	39.01	43.01	3.01	25.01	34.4064	0	171.247	80.01	16.0397	1.01	104.01	0	0	0	1.01	105.01	98.01	16.01	33.01	0
ENSMMUG00000032178	0	9.02439	1.38594	14.3422	32.0246	0	9.52093	33.776	85.2009	1.66021	0	43.8927	16.9714	0	3.47087	15.3316	85.6716	0	0	7.19741	188.653	0	0	0	40.8088	6.79465	11.2595	44.5097	3.60911	27.2818	7.73609	0
ENSMMUG00000030379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000028680	54.01	233.359	152.747	759.036	1079.62	327.005	315.01	241.521	873.172	125.878	297.496	137.461	161.782	306.025	120.01	287.829	1143.95	413.042	195.183	213.633	846.342	279.92	661.606	379.49	626.47	287.369	263.149	182.085	322.253	283.01	90.1213	91.01
ENSMMUG00000032383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000006202	0	0	37.02	0	0	133.85	0	0	0	5.02	0	75.01	0	47.02	9.02	52.02	0	0	106.467	0	0	0	0	0	19.02	5.02	2.01	0	0	0	0	0
ENSMMUG00000017148	0	0	18.01	0	0	10.01	58.01	0	0	5.01	0	168.01	18.01	28.01	0	0	0	0	0	0	0	0	19.01	0	41.01	21.01	39.01	0	0	0	0	0
ENSMMUG00000029550	0	1.03117	0	0	0	0	0	0	0	1.06084	0	1.04352	0	1.03288	0	0	0	0	1.04099	0	0	0	0	0	0	0	27.716	0	0	0	0	1.06069
ENSMMUG00000009155	13.01	0	0	0	0	0	0	0	9.01	0	0	0	0	9.01	0	0	0	0	0	24.01	0	0	0	0	0	0	42.01	0	0	0	0	0
ENSMMUG00000005448	3.01	53.01	113.01	0	0	0	0	3.01	0	0	18.0252	35.01	30.01	0	0	2.01	0	0	21.01	0	0	0	19.01	0	45.02	0	3.01	12.01	0	0	0	0
ENSMMUG00000009310	0	1.03158	0	0	0	0	1.08668	2.1048	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01127	2.26139	0	0	0	0
ENSMMUG00000009479	51.01	124.776	97.01	11.01	7.56893	157.01	20.01	63.3	0	23.01	185.01	0	0	0	28.01	0	1.01	142.01	96.01	0	0	15.01	115.01	0	182.706	0	0	66.01	0	0	22.01	35.01
ENSMMUG00000019296	1.26754	1.20996	0	1.98953	14.515	1.80772	13.6465	8.12375	43.8516	0	1.16274	6.51703	1.05699	3.92012	0	0	40.7978	4.04608	15.6643	0	0	10.5692	8.2611	0	8.66766	14.0078	13.1856	20.5884	5.01372	0	0	0
ENSMMUG00000022507	0	19.01	0	0	0	2.01	0	0	0	3.01	22.01	0	0	0	0	3.01	0	0	0	0	0	0	0	42.2139	0	0	4.01	0	28.01	0	0	0
ENSMMUG00000014668	0	0	0	0	0	0	0	25.01	0	0	4.09214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000003522	4.63772	0	2.41819	0	0	1.07101	1.91174	2.03639	2.25234	1.16071	0	0	0	2.7833	3.53781	0	11.0684	21.4791	7.56775	0	0	4.58584	5.32382	0	0	3.46269	0	0	5.22968	3.55533	0	0
ENSMMUG00000028785	5.01	69.01	107.01	107.01	0	23.01	15.01	24.01	0	13.01	0	0	34.01	100.01	17.01	173.01	144.01	156.01	193.01	49.01	9.01	272.01	0	0	0	23.01	103.01	109.01	0	0	0	0
ENSMMUG00000000081	4.01	0	32.01	1.01	1.01	0	101.01	17.01	0	7.01	0	65.01	0	37.01	0	0	0	0	0	29.01	1.01	0	0	0	0	29.01	2.01	0	0	67.1274	1.01	8.01
ENSMMUG00000017484	25.2937	31.3505	8.75224	106.208	24.9469	7.75096	138.466	41.1442	38.0219	34.8549	210.049	72.1969	91.81	60.0494	33.3492	13.921	14.0794	34.1426	73.9376	74.4344	52.2048	356.291	44.5628	2.27067	8.97855	46.8988	47.0243	33.5263	182.849	6.17573	15.3782	36.9426
ENSMMUG00000021788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.01	0	0	0	0	0	41.01	0	0	0	0	0	0	0	0
