gene	21373_7_6	21373_7_10	21373_7_33	21373_7_35	21373_7_41	21373_7_52	21373_7_56	21373_7_58	21373_7_62	21373_7_75	21373_7_79	21373_7_112	21373_7_135	21373_7_148	21373_7_162	21373_7_173	21373_7_185	21373_7_212	21373_7_214	21373_7_235	21373_7_244	21373_7_258	21373_7_269	21373_7_273	21373_7_281	21373_7_287	21373_7_338	21373_7_352	21373_7_375
ENSMMUG00000031161	0	0	0	0	0	0	61.01	0	0	0	0	0	0	0	17.01	0	0	0	0	0	30.01	0	0	0	0	0	0	6.01	0
ENSMMUG00000031606	0	1.75763	5.27015	19.2183	5.52171	0	3.66195	0	5.14446	11.7065	3.17398	8.69096	8.51057	12.764	4.87306	8.84673	31.5536	0	0	18.0849	4.46042	19.956	12.1964	3.28697	12.4947	0	13.5856	5.84067	25.6263
ENSMMUG00000002939	3.01	0	33.01	0	0	5.01	22.01	49.01	0	0	90.01	3.01	33.01	0	11.01	0	0	0	0	88.01	0	0	0	28.0492	0	0	53.01	26.01	0
ENSMMUG00000032178	26.6677	0	0	12.0588	0	29.4675	9.43139	0	42.0955	0	1.86457	0	39.0648	59.5995	6.3082	28.4466	14.9277	15.0995	8.51149	0	0	0	74.065	4.08705	107.326	61.2121	4.09387	0	21.3335
ENSMMUG00000030379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000028680	240.935	233.057	296.683	738.614	257.535	851.538	412.01	123.473	695.825	381.879	312.163	205.109	327.791	435.01	220.274	862.541	1033.72	250.81	101.904	244.359	1088.63	830.583	670.423	244.01	840.755	365.084	146.727	1160.03	672.406
ENSMMUG00000032383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.01	0
ENSMMUG00000006202	0	0	0	0	0	8.01	0	117.02	339.02	148.02	23.01	40.4996	0	0	14.02	0	0	28.01	0	0	0	276.203	0	72.01	22.01	0	0	39.01	28.02
ENSMMUG00000017148	0	0	47.01	60.02	21.01	0	0	13.01	52.01	81.01	0	0	69.01	0	1.01	0	0	4.01	13.01	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000029550	1.05043	0	0	0	0	0	0	1.02646	0	0	1.02991	0	0	0	0	0	0	0	0	1.0438	0	0	0	0	0	0	0	0	0
ENSMMUG00000009155	0	0	0	51.01	0	0	0	13.01	103.01	0	0	0	27.01	0	0	0	0	0	0	0	0	0	0	0	0	0	17.01	0	0
ENSMMUG00000005448	0	0	0	46.01	1.01	1.01	0	67.01	0	0	0	0	0	0	51.01	0	0	0	3.01	0	0	79.3482	0	0	0	0	0	127.01	40.0389
ENSMMUG00000009310	0	0	0	0	0	0	1.01464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05655
ENSMMUG00000009479	17.01	0	28.01	0	0	2.01	0	17.01	0	55.01	40.4303	0	1.01	0	6.01	0	0	0	16.1146	0	0	0	0	139.512	0	0	24.01	0	11.01
ENSMMUG00000019296	0	0	6.39471	14.4257	0	2.42543	9.75369	0	5.12547	11.9906	0	8.20082	16.9045	13.5978	8.21821	22.1024	0	3.24546	0	0	0	11.0644	20.8395	2.22185	0	13.8647	0	13.469	34.8533
ENSMMUG00000022507	0	0	0	0	0	1.01	0	0	0	0	2.01	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000014668	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.01	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000003522	3.66379	6.94051	0	13.9125	0	4.36336	0	6.12785	1.08863	0	5.19941	3.74878	1.10731	14.922	0	9.32978	0	4.80222	3.01	0	0	13.8455	0	0	11.7819	0	0	1.65036	7.73952
ENSMMUG00000028785	37.01	0	0	89.01	61.01	21.01	0	191.01	0	0	32.01	4.01	1.01569	105.01	44.01	0	0	0	7.01	94.01	38.01	0	0	295.01	23.01	0	59.01	0	0
ENSMMUG00000000081	0	0	0	0	0	0	48.01	59.01	1.01	0	4.01	0	0	0	20.01	0	0	0	0	0	0	0	118.01	0	0	0	19.01	0	12.01
