gene	21373_7_31	21373_7_73	21373_7_100	21373_7_137	21373_7_158	21373_7_164	21373_7_177	21373_7_208	21373_7_210	21373_7_231	21373_7_252	21373_7_302	21373_7_325
ENSMMUG00000031161	0	0	0	0	8.01	0	0	0	0	0	0	0	0
ENSMMUG00000031606	2.32982	2.58337	2.88781	2.29368	11.5289	4.52091	5.50323	19.966	5.41368	11.8816	21.6207	7.31287	20.7528
ENSMMUG00000002939	0	0	2.01	3.01	70.01	38.01	0	0	0	0	0	46.01	19.1488
ENSMMUG00000032178	0	0	20.3468	2.14635	0	0	0	32.2696	0	71.5829	0	0	0
ENSMMUG00000030379	0	0	0	0	0	1.02082	0	0	0	0	0	0	0
ENSMMUG00000028680	387.01	86.01	398.953	679.477	281.922	358.619	1333.59	765.85	203.932	985.058	1027.1	969.621	535.547
ENSMMUG00000032383	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000006202	0	0	46.02	18.01	4.01	0	11.02	0	0	0	0	0	55.02
ENSMMUG00000017148	0	67.0852	0	0	0	0	0	140.01	49.6206	75.01	0	0	156.01
ENSMMUG00000029550	0	0	0	0	0	0	0	0	0	2.05374	0	0	0
ENSMMUG00000009155	0	0	0	0	0	0	0	0	14.01	0	0	0	0
ENSMMUG00000005448	13.01	5.01	2.01	0	117.01	14.01	0	0	0	0	35.01	0	0
ENSMMUG00000009310	1.01	0	0	0	0	0	5.95329	1.01923	0	0	2.90526	0	0
ENSMMUG00000009479	3.01	0	2.01	0	0	109.01	0	0	0	91.01	0	1.01	308.01
ENSMMUG00000019296	11.1663	0	0	4.74644	0	5.57494	20.0584	0	4.88725	11.0355	48.0238	15.5499	21.0685
ENSMMUG00000022507	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000014668	2.01	7.01	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000003522	0	4.47825	0	5.47678	7.5283	4.69571	1.36054	43.568	0	8.80633	0	0	4.59914
ENSMMUG00000028785	47.01	19.01	4.01	0	123.01	0	0	0	26.01	60.01	36.0268	129.01	407.01
ENSMMUG00000000081	0	31.01	0	108.049	3.01	0	0	0	0	0	0	0	0
ENSMMUG00000017484	9.0008	32.5813	54.146	35.3683	20.7108	28.1829	69.1271	73.2712	34.4292	29.5108	88.5862	32.149	39.2146
ENSMMUG00000021788	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000000330	86.01	18.01	4.01	64.015	4.01	32.01	72.01	0	0	56.01	141.391	0	36.01
ENSMMUG00000003130	59.01	34.01	19.01	1.01	147.01	106.01	0	0	0	0	10.0315	164.105	45.01
ENSMMUG00000007744	0	0	0	0	0	0	0	0	0	0	0	0	0
