gene	21373_7_39	21373_7_68	21373_7_72	21373_7_104	21373_7_127	21373_7_141	21373_7_156	21373_7_179	21373_7_206	21373_7_229	21373_7_242	21373_7_260	21373_7_283	21373_7_292	21373_7_298	21373_7_306	21373_7_321	21373_7_329	21373_7_348	21373_7_371
ENSMMUG00000031161	0	0	0	0	0	0	0	0	0	45.01	0	0	0	13.01	0	0	0	0	7.01	0
ENSMMUG00000031606	1.10035	2.15294	3.34035	6.57555	1.12228	1.33214	20.615	8.06993	4.20377	5.93696	1.28344	2.68851	3.07988	7.53352	3.74184	2.68622	5.99512	0	3.44961	15.2848
ENSMMUG00000002939	33.01	0	24.01	0	55.01	68.01	100.01	97.01	0	0	15.01	36.01	0	20.01	79.01	122.154	89.01	0	32.01	33.01
ENSMMUG00000032178	0	14.4114	0	14.8288	29.2078	0	4.44703	5.48659	0	27.9022	9.97975	9.0613	2.32434	0	7.46792	37.3202	1.50856	2.38888	57.9482	0
ENSMMUG00000030379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000028680	232.357	142.085	55.01	290.275	241.01	263.489	423.185	338.437	154.938	137.01	148.059	124.164	314.303	300.515	258.279	260.493	191.883	405.626	438.589	231.45
ENSMMUG00000032383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000006202	0	27.01	4.01	15.01	0	0	1.01	30.01	0	0	0	25.01	47.02	68.02	0	0	27.0199	0	60.02	0
ENSMMUG00000017148	19.01	0	42.01	67.01	64.182	0	24.01	0	0	0	0	17.0553	16.01	63.01	0	11.01	0	0	14.01	0
ENSMMUG00000029550	0	0	0	0	1.04667	0	0	0	0	0	1.05364	0	0	0	0	1.04185	0	0	0	1.05339
ENSMMUG00000009155	0	0	3.01	0	4.01	1.01	0	0	0	19.01	0	0	0	0	0	13.01	0	0	0	0
ENSMMUG00000005448	0	0	0	0	24.01	0	35.01	27.01	4.01	0	38.01	20.0389	0	31.01	0	0	6.01	5.01	0	0
ENSMMUG00000009310	0	0	0	1.03667	0	0	0	3.25421	3.02	0	1.01541	0	0	0	0	0	0	1.08706	0	1.14804
ENSMMUG00000009479	44.01	0	26.01	71.01	106.01	20.4418	27.01	50.1389	0	148.01	19.01	44.01	0	0	108.01	93.01	12.01	0	0	129.01
ENSMMUG00000019296	0	1.69711	2.6378	2.04151	0	0	2.37429	10.8312	3.29641	0	3.69286	1.15958	0	1.18778	0	3.31256	9.05856	0	1.91522	0
ENSMMUG00000022507	0	0	0	0	0	0	0	0	0	0	2.01	1.01	0	0	0	0	0	0	0	25.01
ENSMMUG00000014668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.01	0
ENSMMUG00000003522	0	4.94322	0	0	0	0	0	0	2.0617	0	1.06585	0	3.7328	0	7.63955	15.3455	5.29378	17.7849	6.61485	0
ENSMMUG00000028785	59.01	60.01	0	55.01	43.01	196.01	105.01	35.01	32.01	36.01	0	0	0	46.01	15.01	187.01	81.01	112.01	12.01	69.01
ENSMMUG00000000081	3.01	0	5.01	44.01	19.01	0	51.01	0	0	0	0	21.01	0	53.01	0	50.01	0	0	14.01	0
ENSMMUG00000017484	88.1413	11.3139	2.26583	65.6155	63.8785	19.0832	12.6109	8.2675	9.21016	13.1999	24.7799	52.7436	7.95215	30.0784	17.7356	9.54232	121.247	224.194	42.7347	129.321
