"gene"	"class"
"ENSG00000081041"	"a_all"
"ENSG00000171855"	"a_all"
"ENSG00000115009"	"a_all"
"ENSG00000118503"	"a_all"
"ENSG00000100906"	"a_all"
"ENSG00000163734"	"a_all"
"ENSG00000136244"	"a_all"
"ENSG00000077150"	"a_all"
"ENSG00000144802"	"a_all"
"ENSG00000104856"	"a_all"
"ENSG00000100918"	"a_all"
"ENSG00000271503"	"a_all"
"ENSG00000056558"	"a_all"
"ENSG00000130589"	"a_all"
"ENSG00000125347"	"a_all"
"ENSG00000178860"	"a_all"
"ENSG00000229677"	"a_all"
"ENSG00000163739"	"a_all"
"ENSG00000154451"	"a_all"
"ENSG00000182393"	"a_all"
"ENSG00000225349"	"a_all"
"ENSG00000163660"	"a_all"
"ENSG00000134070"	"a_all"
"ENSG00000221978"	"a_all"
"ENSG00000108691"	"a_all"
"ENSG00000185507"	"a_all"
"ENSG00000128342"	"a_all"
"ENSG00000243649"	"a_all"
"ENSG00000232810"	"a_all"
"ENSG00000100739"	"a_all"
"ENSG00000115008"	"a_all"
"ENSG00000169245"	"a_all"
"ENSG00000171223"	"a_all"
"ENSG00000090339"	"a_all"
"ENSG00000174501"	"a_all"
"ENSG00000167615"	"a_all"
"ENSG00000126709"	"a_all"
"ENSG00000276550"	"a_all"
"ENSG00000105327"	"a_all"
"ENSG00000185338"	"a_all"
"ENSG00000023445"	"a_all"
"ENSG00000125538"	"a_all"
"ENSG00000163874"	"a_all"
"ENSG00000198888"	"a_all"
"ENSG00000198786"	"a_all"
"ENSG00000156218"	"a_all"
"ENSG00000013441"	"a_all"
"ENSG00000168010"	"a_all"
"ENSG00000228253"	"a_all"
"ENSG00000248527"	"a_all"
"ENSG00000198695"	"a_all"
"ENSG00000160888"	"a_all"
"ENSG00000112149"	"a_all"
"ENSG00000132530"	"a_all"
"ENSG00000111816"	"a_all"
"ENSG00000137331"	"a_all"
"ENSG00000135976"	"a_all"
"ENSG00000168675"	"a_all"
"ENSG00000169871"	"a_all"
"ENSG00000146232"	"a_all"
"ENSG00000117616"	"a_all"
"ENSG00000163545"	"a_all"
"ENSG00000222009"	"a_all"
"ENSG00000069399"	"a_all"
"ENSG00000128016"	"a_all"
"ENSG00000198763"	"a_all"
"ENSG00000271383"	"a_all"
"ENSG00000101104"	"a_all"
"ENSG00000173209"	"a_all"
"ENSG00000227671"	"a_all"
"ENSG00000145779"	"a_all"
"ENSG00000198899"	"a_all"
"ENSG00000105939"	"a_all"
"ENSG00000132680"	"a_all"
"ENSG00000105371"	"a_all"
"ENSG00000125730"	"a_all"
"ENSG00000215252"	"a_all"
"ENSG00000092529"	"a_all"
"ENSG00000185885"	"a_all"
"ENSG00000204681"	"a_all"
"ENSG00000212907"	"a_all"
"ENSG00000172432"	"a_all"
"ENSG00000249755"	"a_all"
"ENSG00000050344"	"a_all"
"ENSG00000184557"	"a_all"
"ENSG00000206344"	"a_all"
"ENSG00000214021"	"a_all"
"ENSG00000147689"	"a_all"
"ENSG00000121716"	"a_all"
"ENSG00000219626"	"a_all"
"ENSG00000140379"	"a_all"
"ENSG00000198712"	"a_all"
"ENSG00000172650"	"a_all"
"ENSG00000203852"	"a_all"
"ENSG00000163046"	"a_all"
"ENSG00000143067"	"a_all"
"ENSG00000067798"	"a_all"
"ENSG00000204177"	"a_all"
"ENSG00000163840"	"a_all"
"ENSG00000109320"	"a_all"
"ENSG00000087074"	"a_all"
"ENSG00000138755"	"a_all"
"ENSG00000165949"	"a_all"
"ENSG00000110944"	"a_all"
"ENSG00000124549"	"a_all"
"ENSG00000106346"	"a_all"
"ENSG00000132424"	"a_all"
"ENSG00000162924"	"a_all"
"ENSG00000184371"	"a_all"
"ENSG00000107968"	"a_all"
"ENSG00000102878"	"a_all"
"ENSG00000198886"	"a_all"
"ENSG00000117228"	"a_all"
"ENSG00000057657"	"a_all"
"ENSG00000010030"	"a_all"
"ENSG00000188234"	"a_all"
"ENSG00000206149"	"a_all"
"ENSG00000122257"	"a_all"
"ENSG00000177989"	"a_all"
"ENSG00000132109"	"a_all"
"ENSG00000108342"	"a_all"
"ENSG00000003402"	"a_all"
"ENSG00000188599"	"a_all"
"ENSG00000025708"	"a_all"
"ENSG00000169429"	"a_all"
"ENSG00000170345"	"a_all"
"ENSG00000164136"	"a_all"
"ENSG00000060491"	"a_all"
"ENSG00000197536"	"a_all"
"ENSG00000185215"	"a_all"
"ENSG00000185485"	"a_all"
"ENSG00000184465"	"a_all"
"ENSG00000223705"	"a_all"
"ENSG00000073756"	"a_all"
"ENSG00000137802"	"a_all"
"ENSG00000198804"	"a_all"
"ENSG00000108848"	"a_all"
"ENSG00000162645"	"a_all"
"ENSG00000064932"	"a_all"
"ENSG00000176444"	"a_all"
"ENSG00000153234"	"a_all"
"ENSG00000272886"	"a_all"
"ENSG00000106133"	"a_all"
"ENSG00000112096"	"a_all"
"ENSG00000144655"	"a_all"
"ENSG00000173918"	"a_all"
"ENSG00000276966"	"a_all"
"ENSG00000185880"	"a_all"
"ENSG00000151014"	"a_all"
"ENSG00000120217"	"a_all"
"ENSG00000140464"	"a_all"
"ENSG00000104804"	"a_all"
"ENSG00000165494"	"a_all"
"ENSG00000136514"	"a_all"
"ENSG00000266074"	"a_all"
"ENSG00000162692"	"a_all"
"ENSG00000173212"	"a_all"
"ENSG00000180828"	"a_all"
"ENSG00000003756"	"a_all"
"ENSG00000242338"	"a_all"
"ENSG00000145365"	"a_all"
"ENSG00000176155"	"a_all"
"ENSG00000150630"	"a_all"
"ENSG00000228409"	"a_all"
"ENSG00000152778"	"a_all"
"ENSG00000140398"	"a_all"
"ENSG00000197837"	"a_all"
"ENSG00000169248"	"a_all"
"ENSG00000213918"	"a_all"
"ENSG00000138135"	"a_all"
"ENSG00000197774"	"a_all"
"ENSG00000135111"	"a_all"
"ENSG00000127666"	"a_all"
"ENSG00000138834"	"a_all"
"ENSG00000114857"	"a_all"
"ENSG00000178685"	"a_all"
"ENSG00000283091"	"a_all"
"ENSG00000111011"	"a_all"
"ENSG00000159128"	"a_all"
"ENSG00000133106"	"a_all"
"ENSG00000167483"	"a_all"
"ENSG00000223959"	"a_all"
"ENSG00000233586"	"a_all"
"ENSG00000270672"	"a_all"
"ENSG00000145632"	"a_all"
"ENSG00000147454"	"a_all"
"ENSG00000115919"	"a_all"
"ENSG00000132481"	"a_all"
"ENSG00000145777"	"a_all"
"ENSG00000102921"	"a_all"
"ENSG00000130813"	"a_all"
"ENSG00000119698"	"a_all"
"ENSG00000135473"	"a_all"
"ENSG00000187479"	"a_all"
"ENSG00000215908"	"a_all"
"ENSG00000171621"	"a_all"
"ENSG00000067082"	"a_all"
"ENSG00000105376"	"a_all"
"ENSG00000282888"	"a_all"
"ENSG00000113240"	"a_all"
"ENSG00000184979"	"a_all"
"ENSG00000175265"	"a_all"
"ENSG00000166012"	"a_all"
"ENSG00000164920"	"a_all"
"ENSG00000256618"	"a_all"
"ENSG00000270379"	"a_all"
"ENSG00000196123"	"a_all"
"ENSG00000269028"	"a_all"
"ENSG00000225697"	"a_all"
"ENSG00000164400"	"a_all"
"ENSG00000168398"	"a_all"
"ENSG00000095951"	"a_all"
"ENSG00000145901"	"a_all"
"ENSG00000105559"	"a_all"
"ENSG00000272645"	"a_all"
"ENSG00000178607"	"a_all"
"ENSG00000243716"	"a_all"
"ENSG00000183486"	"a_all"
"ENSG00000006062"	"a_all"
"ENSG00000113108"	"a_all"
"ENSG00000177606"	"a_all"
"ENSG00000214176"	"a_all"
"ENSG00000137776"	"a_all"
"ENSG00000258367"	"a_all"
"ENSG00000173846"	"a_all"
"ENSG00000158805"	"a_all"
"ENSG00000129595"	"a_all"
"ENSG00000160781"	"a_all"
"ENSG00000282458"	"a_all"
"ENSG00000183718"	"a_all"
"ENSG00000132003"	"a_all"
"ENSG00000146457"	"a_all"
"ENSG00000119280"	"a_all"
"ENSG00000123243"	"a_all"
"ENSG00000104312"	"a_all"
"ENSG00000171163"	"a_all"
"ENSG00000204642"	"a_all"
"ENSG00000119508"	"a_all"
"ENSG00000162654"	"a_all"
"ENSG00000255823"	"a_all"
"ENSG00000138386"	"a_all"
"ENSG00000075426"	"a_all"
"ENSG00000149451"	"a_all"
"ENSG00000204149"	"a_all"
"ENSG00000228327"	"a_all"
"ENSG00000242294"	"a_all"
"ENSG00000226232"	"a_all"
"ENSG00000251474"	"a_all"
"ENSG00000149289"	"a_all"
"ENSG00000138496"	"a_all"
"ENSG00000088756"	"a_all"
"ENSG00000189136"	"a_all"
"ENSG00000187961"	"a_all"
"ENSG00000204256"	"a_all"
"ENSG00000196739"	"a_all"
"ENSG00000183891"	"a_all"
"ENSG00000110888"	"a_all"
"ENSG00000184545"	"a_all"
"ENSG00000204138"	"a_all"
"ENSG00000128159"	"a_all"
"ENSG00000112773"	"a_all"
"ENSG00000134326"	"a_all"
"ENSG00000172613"	"a_all"
"ENSG00000250251"	"a_all"
"ENSG00000243302"	"a_all"
"ENSG00000198840"	"a_all"
"ENSG00000130775"	"a_all"
"ENSG00000100336"	"a_all"
"ENSG00000155287"	"a_all"
"ENSG00000270276"	"a_all"
"ENSG00000170581"	"a_all"
"ENSG00000221869"	"a_all"
"ENSG00000162194"	"a_all"
"ENSG00000211445"	"a_all"
"ENSG00000234518"	"a_all"
"ENSG00000167604"	"a_all"
"ENSG00000168137"	"a_all"
"ENSG00000273802"	"a_all"
"ENSG00000225151"	"a_all"
"ENSG00000198938"	"a_all"
"ENSG00000250959"	"a_all"
"ENSG00000104957"	"a_all"
"ENSG00000230715"	"a_all"
"ENSG00000165105"	"a_all"
"ENSG00000122484"	"a_all"
"ENSG00000168394"	"a_all"
"ENSG00000059378"	"a_all"
"ENSG00000102794"	"a_all"
"ENSG00000119640"	"a_all"
"ENSG00000140853"	"a_all"
"ENSG00000162231"	"a_all"
"ENSG00000182324"	"a_all"
"ENSG00000282957"	"a_all"
"ENSG00000103168"	"a_all"
"ENSG00000139190"	"a_all"
"ENSG00000135821"	"a_all"
"ENSG00000158406"	"a_all"
"ENSG00000142102"	"a_all"
"ENSG00000174720"	"a_all"
"ENSG00000010818"	"a_all"
"ENSG00000162086"	"a_all"
"ENSG00000139287"	"a_all"
"ENSG00000140400"	"a_all"
"ENSG00000187764"	"a_all"
"ENSG00000157601"	"a_all"
"ENSG00000132510"	"a_all"
"ENSG00000164877"	"a_all"
"ENSG00000135164"	"a_all"
"ENSG00000168062"	"a_all"
"ENSG00000204569"	"a_all"
"ENSG00000156232"	"a_all"
"ENSG00000272578"	"a_all"
"ENSG00000106258"	"a_all"
"ENSG00000112208"	"a_all"
"ENSG00000283004"	"a_all"
"ENSG00000069020"	"a_all"
"ENSG00000172602"	"a_all"
"ENSG00000134884"	"a_all"
"ENSG00000163121"	"a_all"
"ENSG00000104218"	"a_all"
"ENSG00000198727"	"a_all"
"ENSG00000163347"	"a_all"
"ENSG00000140548"	"a_all"
"ENSG00000105143"	"a_all"
"ENSG00000186166"	"a_all"
"ENSG00000161647"	"a_all"
"ENSG00000181092"	"a_all"
"ENSG00000196843"	"a_all"
"ENSG00000188313"	"a_all"
"ENSG00000146067"	"a_all"
"ENSG00000146374"	"a_all"
"ENSG00000271425"	"a_all"
"ENSG00000113504"	"a_all"
"ENSG00000162772"	"a_all"
"ENSG00000162825"	"a_all"
"ENSG00000130066"	"a_all"
"ENSG00000276141"	"a_all"
"ENSG00000144395"	"a_all"
"ENSG00000186329"	"a_all"
"ENSG00000144161"	"a_all"
"ENSG00000168310"	"a_all"
"ENSG00000042062"	"a_all"
"ENSG00000169249"	"a_all"
"ENSG00000106404"	"a_all"
"ENSG00000270629"	"a_all"
"ENSG00000257122"	"a_all"
"ENSG00000129566"	"a_all"
"ENSG00000173193"	"a_all"
"ENSG00000179630"	"a_all"
"ENSG00000124882"	"a_all"
"ENSG00000120370"	"a_all"
"ENSG00000172349"	"a_all"
"ENSG00000008517"	"a_all"
"ENSG00000164949"	"a_all"
"ENSG00000139631"	"a_all"
"ENSG00000119720"	"a_all"
"ENSG00000196460"	"a_all"
"ENSG00000173559"	"a_all"
"ENSG00000126653"	"a_all"
"ENSG00000006747"	"a_all"
"ENSG00000167874"	"a_all"
"ENSG00000177721"	"a_all"
"ENSG00000120616"	"a_all"
"ENSG00000166889"	"a_all"
"ENSG00000267060"	"a_all"
"ENSG00000183426"	"a_all"
"ENSG00000170542"	"a_all"
"ENSG00000131669"	"a_all"
"ENSG00000123610"	"a_all"
"ENSG00000108771"	"a_all"
"ENSG00000110455"	"a_all"
"ENSG00000268350"	"a_all"
"ENSG00000198089"	"a_all"
"ENSG00000089048"	"a_all"
"ENSG00000104951"	"a_all"
"ENSG00000135899"	"a_all"
"ENSG00000213398"	"a_all"
"ENSG00000130827"	"a_all"
"ENSG00000159110"	"a_all"
"ENSG00000146006"	"a_all"
"ENSG00000125351"	"a_all"
"ENSG00000107201"	"a_all"
