genes x18957_34 x18957_35 x18982_32 x18982_33 x19368_25 x19368_26
ENSRNOG00000056248 1452.72 1397.72 2389.57 1823.22 2864 3161.62
ENSRNOG00000017628 18250.5 10496.3 4364.24 3113.25 4510.12 4286.69
ENSRNOG00000036576 1102.16 892 1226.52 1165.09 1393.15 1666.34
ENSRNOG00000012772 23470.3 16324.1 25582.2 19640.4 19213.4 17386.8
ENSRNOG00000042189 6287.72 4860.63 8739.23 6863.61 8658.7 9729.85
ENSRNOG00000050729 33.9132 32.8125 24 25.5355 28.7857 25.7299
ENSRNOG00000010076 1030.21 912.137 1015.86 1115.12 781.634 1132.51
ENSRNOG00000030391 2329.82 1340.04 2569.91 1646.46 2611.63 2090.97
ENSRNOG00000018282 10321.6 6508.64 13444.3 8511.65 12942.1 11426.8
ENSRNOG00000054352 3777.38 2993.32 4372.09 3840.24 5209.43 5449.02
ENSRNOG00000003778 97.007 83 134 126 124 112
ENSRNOG00000027923 503.399 444 416 482 392.008 690.331
ENSRNOG00000006532 11728.7 16514.2 9925.5 18389.1 10808.3 43530.7
ENSRNOG00000008643 353 298 246 311.058 271.048 448
ENSRNOG00000043143 1442 935 2189 1487 1865.26 1628.17
ENSRNOG00000002579 2219.25 1591.69 1955.63 1337.74 3724.46 3332.54
ENSRNOG00000015741 435 298 632 376 555 492.015
ENSRNOG00000011771 7596.97 5098.54 6975.16 5322.63 7911.17 9645.53
ENSRNOG00000058249 18794 10126.3 23630.9 15203.8 24554.9 20977.4
ENSRNOG00000048838 275 276 343 327 458 534.235
ENSRNOG00000025061 267 260 230.022 356.012 289 583
ENSRNOG00000001214 1968.73 1247 2017.47 1420.51 2797.96 2325.02
ENSRNOG00000017231 2050 1612 3301.25 2564.02 2926.03 3707.04
ENSRNOG00000009722 296.1 366 582 506 852.699 1075.63
ENSRNOG00000014727 267.45 140.304 303.501 151.825 358.157 307.846
ENSRNOG00000007673 1937.43 1891.34 2358.17 2311.02 3255.42 5482.03
ENSRNOG00000024345 340.012 317 484 418 477 645
ENSRNOG00000057945 113 108 140 163 226.087 248
ENSRNOG00000005689 736.073 586 763.963 705.082 821.064 1118.18
ENSRNOG00000048205 1533.28 1858.09 2428.09 2576.07 2301.73 4425.12
ENSRNOG00000045837 32.1034 40.3213 34.4162 34.8433 48.1955 59.0695
ENSRNOG00000021005 458.039 327.055 385.321 388.465 427.364 514.089
ENSRNOG00000018677 3434 2227.91 3962.61 3102 3829.93 2855.46
ENSRNOG00000028302 7.15949 12.7163 404.16 1589.64 36.3274 60.6787
ENSRNOG00000013017 935.04 840 1648 1304.27 2667.05 3135
ENSRNOG00000010721 1469.56 1139 2931.76 2491.31 4282.02 5324.98
ENSRNOG00000024256 23.1975 15.004 29.0203 24.0946 34.5106 62.4511
ENSRNOG00000017781 1623 1170 1800.25 1452 1994.51 2537.06
ENSRNOG00000018553 298.736 318.993 351.917 435.305 349.144 504.036
ENSRNOG00000049203 474.08 416.395 516.509 555.986 738.478 979.285
ENSRNOG00000045943 176 155 209.006 126 215 268
ENSRNOG00000014076 3452.47 2880.1 3877.9 3203.75 3603.86 4471.96
ENSRNOG00000001738 23348.2 17387.8 30554.5 22594.5 33785.8 24033.6
