"mouse" "mouse_p" "rat" "rat_p" "rabbit" "rabbit_p" "pig" "pig_p"
"ENSMUSG00000035439" 0.475333607416693 0.632207458266558 NA NA NA NA -0.869722451769897 0.537969135392551
"ENSMUSG00000069806" NA NA -0.641642809382757 NA 0.732814717175011 0.503041972136477 -0.622145790625716 NA
"ENSMUSG00000032583" 0.316998333523858 0.481499783995179 -0.626967009556618 0.523091877622595 0.276316705399512 0.626757431927582 NA NA
"ENSMUSG00000022554" 2.27460345314336 0.0056751352554995 -0.0155770334789982 0.996935063561325 -0.244687820374521 0.287486426625269 NA NA
"ENSMUSG00000054310" NA NA NA NA NA NA NA NA
"ENSMUSG00000029711" -0.222389487858485 0.255459345944626 -1.71662771467901 4.37717805694634e-21 -2.234785996079 0.251657037842779 0.733787549586717 0.0531509177823387
"ENSMUSG00000002944" 4.67076514814995 1.09761287497967e-22 NA NA 0.689761482008287 0.0160533767334795 NA NA
"ENSMUSG00000101766" NA NA NA NA NA NA NA NA
"ENSMUSG00000095546" NA NA NA NA NA NA NA NA
"ENSMUSG00000093979" -0.89024472694771 NA NA NA NA NA NA NA
"ENSMUSG00000074449" 0.46452935733566 NA NA NA NA NA NA NA
"ENSMUSG00000026425" 0.489441451276296 0.0688094141181708 2.13641739119613 0.000198138305558829 -0.0854034731287959 0.896911534282045 0.377653625481657 0.680994482847238
"ENSMUSG00000072923" -0.897452537390052 NA NA NA NA NA NA NA
"ENSMUSG00000003053" -2.83331039119989 6.26495980912167e-22 NA NA NA NA NA NA
"ENSMUSG00000078877" NA NA NA NA NA NA NA NA
"ENSMUSG00000044349" NA NA NA NA NA NA NA NA
"ENSMUSG00000033740" -1.00526325442913 0.541381082028806 -0.938880394966888 8.24457409104428e-05 -0.0302439065572261 0.964556653804061 0.681157262366684 0.0128977344947037
"ENSMUSG00000042401" -0.111541449045914 0.975166606659621 -0.189895203553195 0.245499506188913 0.316851027114768 0.196498250238196 -0.413905959642765 0.25530385918152
"ENSMUSG00000070875" 1.82176149292784 NA NA NA NA NA NA NA
"ENSMUSG00000036188" 0.161501593667891 0.670847616215722 -0.48265206785911 2.47959125144593e-05 NA NA NA NA
"ENSMUSG00000056797" NA NA NA NA NA NA NA NA
"ENSMUSG00000026835" 1.76637035972176 0.0880671299410969 0.347071635111474 0.00854231682229459 NA NA NA NA
"ENSMUSG00000023991" 0.500049878433522 0.0134663216128752 -0.499051474575184 0.791975027971995 NA NA 1.06661300408493 4.00641156624727e-12
"ENSMUSG00000020652" -5.11456137850877 0.000218813720622583 NA NA NA NA -0.328254632270793 0.101243966280237
"ENSMUSG00000027048" 0.576963108633418 0.0958800126049732 NA NA 1.29920425371578 0.000430767128255664 -0.603198903866037 0.6986420744861
"ENSMUSG00000087141" NA NA -1.20219374484027 NA -0.0918374563091665 NA 0.532863432114542 0.379310930647163
"ENSMUSG00000045005" NA NA -0.582702246064834 0.212395698212449 -1.27234283401648 NA 0.579360637877091 0.715481960719834
"ENSMUSG00000021216" 1.07839367251951 0.000726195586165389 -0.0165183138047983 0.987678155022948 0.910888589853193 NA NA NA
"ENSMUSG00000035142" 0.208662770263774 0.615324486828133 0.0111138402922867 0.954547582676371 NA NA NA NA
"ENSMUSG00000031095" 0.210711049324172 0.346822780868109 -0.739797905568008 4.26442899645091e-12 NA NA NA NA
"ENSMUSG00000074322" NA NA NA NA NA NA NA NA
"ENSMUSG00000032207" 0.194615464696088 0.443235256512537 NA NA 0.658519688293261 0.00139905024388987 NA NA
"ENSMUSG00000021248" 2.47794382619407 0.000785643474807186 -0.311977477115112 0.00152198350225698 -0.747835713374394 0.164554582182654 -0.646612686846989 2.24475787935446e-08
"ENSMUSG00000099481" NA NA NA NA NA NA NA NA
"ENSMUSG00000095409" NA NA NA NA NA NA NA NA
"ENSMUSG00000043073" 0.000109369261883984 0.999813677397575 NA NA NA NA NA NA
"ENSMUSG00000039452" 0.172571196931398 0.864849813233988 0.0522201856009091 0.792942960585256 NA NA NA NA
"ENSMUSG00000048015" -1.64201039077893 NA -0.461686565998668 0.00309033875957184 NA NA -2.92616755076908 3.13771658430233e-45
"ENSMUSG00000075145" 2.17842866378477 NA NA NA NA NA 0.888136532597885 0.594484444101744
"ENSMUSG00000071686" NA NA -0.0272610927505312 0.930762903112913 NA NA NA NA
"ENSMUSG00000040877" 0.0237652886262497 0.921637028459778 1.28775336234882 1.8633198833424e-06 NA NA -0.940795077611848 7.70533401003137e-08
"ENSMUSG00000092162" NA NA NA NA NA NA NA NA
"ENSMUSG00000028992" 0.752691885791446 0.205556658798069 -0.177849922356725 0.297518719322009 NA NA NA NA
"ENSMUSG00000025888" -0.428769252389123 0.0514127661582431 0.374035091517842 0.000718230383284028 -1.3206139807383 0.000110781022809293 -1.44136710074477 NA
"ENSMUSG00000032305" 0.31446389261713 0.454847709619771 -3.01793565877263 NA NA NA NA NA
"ENSMUSG00000038205" 0.224944595671694 0.787611258089562 0.648980143196773 0.489611953319941 -0.102089355058254 0.683018552887413 1.19396535690515 0.0227096301391969
"ENSMUSG00000060798" NA NA 1.58176007417069 0.0239168167912476 -0.751443140465765 0.000300749964015761 0.420333003553765 0.130286752382336
"ENSMUSG00000003131" -2.01780689783419 8.27415061341348e-22 0.223189227795084 NA NA NA 0.0738923232096126 0.980285904934078
"ENSMUSG00000090125" NA NA NA NA -1.45002863928451 0.252813824900366 -2.78216365129046 5.16521311638396e-05
"ENSMUSG00000033278" -0.145851784753983 0.517730386632211 0.455901382810927 0.057266055105011 0.502138865023639 NA NA NA
"ENSMUSG00000069873" NA NA -1.91206955733207 NA -0.944848062206649 NA 0.118828850325896 0.542958421013448
"ENSMUSG00000091636" NA NA -0.485236460836988 NA NA NA NA NA
"ENSMUSG00000059336" NA NA -0.248178514143875 0.364914697854709 -0.293837531261925 0.406734685794457 -0.409393290249378 0.000655209842330926
