ENSMUSG00000021186	Fbln5	ENSMUST00000021603
ENSMUSG00000047409	Ctdspl	ENSMUST00000073109,ENSMUST00000172464,ENSMUST00000174841,ENSMUST00000174132
ENSMUSG00000049106	Dcaf5	ENSMUST00000054145
ENSMUSG00000059854	Hydin	ENSMUST00000043141
ENSMUSG00000024425	Ndfip1	ENSMUST00000025293
ENSMUSG00000038206	Fbxo8	ENSMUST00000040218,ENSMUST00000110322,ENSMUST00000156840
ENSMUSG00000021819	Zswim8	ENSMUST00000022358
ENSMUSG00000049323	Smcr8	ENSMUST00000102667,ENSMUST00000056907
ENSMUSG00000000399	Ndufa9	ENSMUST00000205002,ENSMUST00000088194,ENSMUST00000200890
ENSMUSG00000026933	Camsap1	ENSMUST00000114167,ENSMUST00000091268,ENSMUST00000143977,ENSMUST00000183461,ENSMUST00000134970,ENSMUST00000148146,ENSMUST00000134882,ENSMUST00000134054,ENSMUST00000151593,ENSMUST00000142028,ENSMUST00000139937,ENSMUST00000127823
ENSMUSG00000057762	Gm6169	ENSMUST00000071118
ENSMUSG00000028337	Coro2a	ENSMUST00000030021,ENSMUST00000107757,ENSMUST00000107756,ENSMUST00000135062,ENSMUST00000129121,ENSMUST00000139179,ENSMUST00000127304
ENSMUSG00000026878	Rab14	ENSMUST00000028238,ENSMUST00000113025,ENSMUST00000137709,ENSMUST00000142015,ENSMUST00000202602,ENSMUST00000155483,ENSMUST00000201694,ENSMUST00000148543,ENSMUST00000155359,ENSMUST00000201896,ENSMUST00000126224
ENSMUSG00000031352	Hccs	ENSMUST00000154638,ENSMUST00000033717,ENSMUST00000112115
ENSMUSG00000029075	Tnfrsf4	ENSMUST00000030952,ENSMUST00000143576,ENSMUST00000127377
ENSMUSG00000023755	Rhebl1	ENSMUST00000024518,ENSMUST00000147015,ENSMUST00000155699
ENSMUSG00000049815	4921511C20Rik	ENSMUST00000051530
ENSMUSG00000032481	Smarcc1	ENSMUST00000098355,ENSMUST00000088716,ENSMUST00000197480,ENSMUST00000200237,ENSMUST00000197984,ENSMUST00000199896,ENSMUST00000198667,ENSMUST00000198211,ENSMUST00000200426
ENSMUSG00000048439	Nupl2	ENSMUST00000049887,ENSMUST00000115101,ENSMUST00000147392,ENSMUST00000124150
ENSMUSG00000097982	Scgb2b12	ENSMUST00000183195
ENSMUSG00000031983	2310022B05Rik	ENSMUST00000034464
ENSMUSG00000006299	Aamp	ENSMUST00000006462,ENSMUST00000186833,ENSMUST00000178235,ENSMUST00000187046,ENSMUST00000191258,ENSMUST00000190008
ENSMUSG00000052137	Rbm12b2	ENSMUST00000095143,ENSMUST00000063839
ENSMUSG00000036748	Cuedc2	ENSMUST00000167861,ENSMUST00000051234
ENSMUSG00000040102	Klhl42	ENSMUST00000036003,ENSMUST00000203866,ENSMUST00000203441
ENSMUSG00000096747	Olfr823	ENSMUST00000081469
ENSMUSG00000021749	Oit1	ENSMUST00000022269
ENSMUSG00000057234	Mettl15	ENSMUST00000081631,ENSMUST00000147376,ENSMUST00000147770,ENSMUST00000138533,ENSMUST00000145535
ENSMUSG00000075707	Dio3	ENSMUST00000173014,ENSMUST00000097228
ENSMUSG00000040728	Esrp1	ENSMUST00000043781,ENSMUST00000108313,ENSMUST00000108311,ENSMUST00000147342,ENSMUST00000108310,ENSMUST00000127399,ENSMUST00000155519
ENSMUSG00000034317	Trim59	ENSMUST00000107802,ENSMUST00000136512,ENSMUST00000142560,ENSMUST00000153259
ENSMUSG00000037994	Slc9b2	ENSMUST00000145195,ENSMUST00000126034,ENSMUST00000149655,ENSMUST00000051849,ENSMUST00000132405
ENSMUSG00000032834	Pwp2	ENSMUST00000042556
ENSMUSG00000094590	Gm10251	ENSMUST00000181786,ENSMUST00000178788
