ENSOCUG00000017200	PDZD4	ENSOCUT00000017201
ENSOCUG00000027774	NAN	ENSOCUT00000029279
ENSOCUG00000006801	MCM10	ENSOCUT00000006801
ENSOCUG00000024926	NAN	ENSOCUT00000025540
ENSOCUG00000012933	OR52E2	ENSOCUT00000012927
ENSOCUG00000014466	TBX1	ENSOCUT00000014465
ENSOCUG00000010494	UBN1	ENSOCUT00000010497
ENSOCUG00000010633	HMOX1	ENSOCUT00000010632
ENSOCUG00000027144	NAN	ENSOCUT00000029636
ENSOCUG00000017056	PKN2	ENSOCUT00000017067
ENSOCUG00000007866	G6PD	ENSOCUT00000007866
ENSOCUG00000028068	NAN	ENSOCUT00000032141
ENSOCUG00000024402	NAN	ENSOCUT00000023857
ENSOCUG00000021358	NAN	ENSOCUT00000031838
ENSOCUG00000027217	TAF1C	ENSOCUT00000029625
ENSOCUG00000002028	USH1C	ENSOCUT00000002036
ENSOCUG00000029298	CIR1	ENSOCUT00000033309
ENSOCUG00000003554	PPP1R8	ENSOCUT00000003550
ENSOCUG00000013543	HCFC2	ENSOCUT00000013543
ENSOCUG00000004002	A4GNT	ENSOCUT00000003998
ENSOCUG00000009465	AGL	ENSOCUT00000011894
ENSOCUG00000016888	IARS	ENSOCUT00000016897
ENSOCUG00000027475	NAN	ENSOCUT00000030882
ENSOCUG00000010299	CSRP1	ENSOCUT00000010293
ENSOCUG00000015421	SLC20A2	ENSOCUT00000015422
ENSOCUG00000001342	ANKFN1	ENSOCUT00000029109
ENSOCUG00000025317	PTP4A3	ENSOCUT00000028608
ENSOCUG00000017168	FUT1	ENSOCUT00000017162
ENSOCUG00000024772	COL18A1	ENSOCUT00000029905
ENSOCUG00000003287	TMEM258	ENSOCUT00000003283
ENSOCUG00000008236	LPL	ENSOCUT00000008235
ENSOCUG00000024289	NAN	ENSOCUT00000030101
ENSOCUG00000001553	LIPA	ENSOCUT00000001553
ENSOCUG00000015516	HOXC4	ENSOCUT00000015511
ENSOCUG00000001261	NAN	ENSOCUT00000001258
ENSOCUG00000001101	SLC25A11	ENSOCUT00000001101
ENSOCUG00000000038	CREBRF	ENSOCUT00000000038
ENSOCUG00000013672	EGR2	ENSOCUT00000013667
ENSOCUG00000001993	KLHL13	ENSOCUT00000001991
ENSOCUG00000006804	INSM2	ENSOCUT00000006799
