ENSRNOG00000018940	Slc28a1	ENSRNOT00000025621,ENSRNOT00000077441
ENSRNOG00000001165	Tmprss3	ENSRNOT00000001540
ENSRNOG00000022533	Micall2	ENSRNOT00000078925,ENSRNOT00000036744
ENSRNOG00000032396	RGD1559575	ENSRNOT00000046438
ENSRNOG00000032973	Il13ra2	ENSRNOT00000084465,ENSRNOT00000043338
ENSRNOG00000018898	Mpi	ENSRNOT00000025783
ENSRNOG00000057724	Dio2	ENSRNOT00000087560
ENSRNOG00000005104	Sppl2c	ENSRNOT00000006808
ENSRNOG00000028803	Cd209e	ENSRNOT00000031997
ENSRNOG00000042680	Krtap14l	ENSRNOT00000064058
ENSRNOG00000046566	Tub	ENSRNOT00000074636
ENSRNOG00000026109	Prmt1	ENSRNOT00000064272
ENSRNOG00000000466	Hsd17b8	ENSRNOT00000081486,ENSRNOT00000091622,ENSRNOT00000081163,ENSRNOT00000000542,ENSRNOT00000083728,ENSRNOT00000091369
ENSRNOG00000002959	Shroom4	ENSRNOT00000003971
ENSRNOG00000053771	LOC100912218	ENSRNOT00000082550
ENSRNOG00000008567	Mos	ENSRNOT00000011602
ENSRNOG00000058827	Six2	ENSRNOT00000079027
ENSRNOG00000019491	Stard10	ENSRNOT00000085555,ENSRNOT00000026428
ENSRNOG00000015676	Brd9	ENSRNOT00000021000
ENSRNOG00000000184	Tmprss6	ENSRNOT00000000200
ENSRNOG00000003524	Lrrc59	ENSRNOT00000004941
ENSRNOG00000054251	Clec7a	ENSRNOT00000091552,ENSRNOT00000077793
ENSRNOG00000055102	Mageb6	ENSRNOT00000088653
ENSRNOG00000050240	LOC100909856	ENSRNOT00000072841
ENSRNOG00000047741	E2f2	ENSRNOT00000072618
ENSRNOG00000014592	Zbtb46	ENSRNOT00000020168,ENSRNOT00000078661
ENSRNOG00000055197	AABR07027872.1	ENSRNOT00000078555
ENSRNOG00000006628	Dusp16	ENSRNOT00000009151
ENSRNOG00000053325	Gm28044	ENSRNOT00000087275
ENSRNOG00000015295	Ctdsp1	ENSRNOT00000020646,ENSRNOT00000081073,ENSRNOT00000085323,ENSRNOT00000086282,ENSRNOT00000080062,ENSRNOT00000090832
ENSRNOG00000008482	Rbms1	ENSRNOT00000011682,ENSRNOT00000087439
ENSRNOG00000001782	Osbpl11	ENSRNOT00000002428
ENSRNOG00000008424	Aagab	ENSRNOT00000011385
ENSRNOG00000020009	Npas4	ENSRNOT00000027119
ENSRNOG00000038896	Upk3bl	ENSRNOT00000059451
ENSRNOG00000033658	Kntc1	ENSRNOT00000063990
ENSRNOG00000014039	Sucnr1	ENSRNOT00000018767
ENSRNOG00000003712	Ppp4r3b	ENSRNOT00000005170
ENSRNOG00000048703	Fam150a	ENSRNOT00000073694
ENSRNOG00000020374	Tmem8a	ENSRNOT00000079826,ENSRNOT00000027609
ENSRNOG00000054625	Fhod1	ENSRNOT00000084734
ENSRNOG00000051418	Tmem45a2	ENSRNOT00000079336
ENSRNOG00000049821	LOC100909620	ENSRNOT00000075282
ENSRNOG00000029578	Olr450	ENSRNOT00000048041
ENSRNOG00000017226	Slc2a4	ENSRNOT00000023256
ENSRNOG00000003409	Ldoc1	ENSRNOT00000004529
ENSRNOG00000030925	Tgif2-ps1	ENSRNOT00000048929
ENSRNOG00000013250	Pdcd5	ENSRNOT00000017708
ENSRNOG00000013878	Hmgxb4	ENSRNOT00000067519
ENSRNOG00000006926	Atp6v0d2	ENSRNOT00000009334
ENSRNOG00000031041	Rps4y2	ENSRNOT00000043543
ENSRNOG00000053366	Zfp850	ENSRNOT00000083050
ENSRNOG00000008593	Ryk	ENSRNOT00000067203
ENSRNOG00000006063	Phf21a	ENSRNOT00000067664
ENSRNOG00000061644	AABR07042623.1	ENSRNOT00000086313
ENSRNOG00000013844	Fam172a	ENSRNOT00000041541
ENSRNOG00000019730	Inppl1	ENSRNOT00000066915
ENSRNOG00000047964	LOC100909608	ENSRNOT00000072360
ENSRNOG00000039954	RGD1308751	ENSRNOT00000083451,ENSRNOT00000090013,ENSRNOT00000061398,ENSRNOT00000061391
ENSRNOG00000052289	Ptdss1	ENSRNOT00000083959,ENSRNOT00000087143
ENSRNOG00000036691	Fam195b	ENSRNOT00000054960
ENSRNOG00000054978	LOC684681	ENSRNOT00000087731
ENSRNOG00000013165	Bet1l	ENSRNOT00000017684
ENSRNOG00000049535	Olr1399	ENSRNOT00000050554
ENSRNOG00000023434	Lrtomt	ENSRNOT00000039564
ENSRNOG00000038686	Ap1s2	ENSRNOT00000081652,ENSRNOT00000065075
ENSRNOG00000024450	Poc1b	ENSRNOT00000031905
ENSRNOG00000011611	Mapk1ip1l	ENSRNOT00000015511,ENSRNOT00000063807
ENSRNOG00000000130	Dnajb5	ENSRNOT00000000142,ENSRNOT00000080082
ENSRNOG00000015645	Rnf138	ENSRNOT00000021061
ENSRNOG00000059134	AABR07036513.2	ENSRNOT00000078837
