ENSSSCG00000020823	BSCL2	ENSSSCT00000025488
ENSSSCG00000002807	USB1	ENSSSCT00000003107
ENSSSCG00000007179	STK35	ENSSSCT00000007853
ENSSSCG00000026440	NAN	ENSSSCT00000031621
ENSSSCG00000008536	NAN	ENSSSCT00000009340
ENSSSCG00000010640	NRAP	ENSSSCT00000011638
ENSSSCG00000017918	ARRB2	ENSSSCT00000019500
ENSSSCG00000026599	NAN	ENSSSCT00000031395
ENSSSCG00000028071	NAN	ENSSSCT00000030734
ENSSSCG00000004861	TSHZ1	ENSSSCT00000005367
ENSSSCG00000005038	PSMC6	ENSSSCT00000005554
ENSSSCG00000016769	CDK13	ENSSSCT00000018255
ENSSSCG00000012910	RPS6KB2	ENSSSCT00000014113
ENSSSCG00000007933	SEPT12	ENSSSCT00000008695
ENSSSCG00000002844	PHKB	ENSSSCT00000003145
ENSSSCG00000021998	NAN	ENSSSCT00000030464
ENSSSCG00000013651	NAN	ENSSSCT00000035811,ENSSSCT00000033011,ENSSSCT00000033646,ENSSSCT00000032881,ENSSSCT00000033963,ENSSSCT00000035504,ENSSSCT00000035197,ENSSSCT00000014914,ENSSSCT00000036161
ENSSSCG00000010528	ZFYVE27	ENSSSCT00000011518
ENSSSCG00000016454	NAN	ENSSSCT00000017917
ENSSSCG00000015777	TRAPPC11	ENSSSCT00000017178
ENSSSCG00000024823	RCN3	ENSSSCT00000026102
ENSSSCG00000001883	NAN	ENSSSCT00000002108
ENSSSCG00000018049	NAN	ENSSSCT00000019644
ENSSSCG00000005424	NIPSNAP3B	ENSSSCT00000005967
ENSSSCG00000027487	LAT2	ENSSSCT00000028458
ENSSSCG00000007202	TCF15	ENSSSCT00000007881
ENSSSCG00000011079	PIP4K2A	ENSSSCT00000012125,ENSSSCT00000012126
ENSSSCG00000010404	ALOX5	ENSSSCT00000033520,ENSSSCT00000035111,ENSSSCT00000036529,ENSSSCT00000011388
ENSSSCG00000010351	CCSER2	ENSSSCT00000011332,ENSSSCT00000031701
ENSSSCG00000022119	RABGAP1L	ENSSSCT00000023973
ENSSSCG00000028650	NAN	ENSSSCT00000026248
ENSSSCG00000030725	LY6G5B	ENSSSCT00000036645,ENSSSCT00000034011
ENSSSCG00000030417	NAN	ENSSSCT00000027945
ENSSSCG00000001641	NAN	ENSSSCT00000001825
ENSSSCG00000029393	CENPJ	ENSSSCT00000026789
ENSSSCG00000008695	MFSD10	ENSSSCT00000009513
ENSSSCG00000028932	NAN	ENSSSCT00000027715
ENSSSCG00000004608	DYX1C1	ENSSSCT00000005089,ENSSSCT00000029772
ENSSSCG00000029390	NAN	ENSSSCT00000019190
ENSSSCG00000010517	PGAM1	ENSSSCT00000011507
ENSSSCG00000025414	PYY	ENSSSCT00000030078
ENSSSCG00000016416	SHH	ENSSSCT00000017875
ENSSSCG00000026361	NAN	ENSSSCT00000028102
ENSSSCG00000026345	NAN	ENSSSCT00000028197
ENSSSCG00000009233	GPAT3	ENSSSCT00000010112
ENSSSCG00000007907	USP7	ENSSSCT00000008664
ENSSSCG00000020676	NAN	ENSSSCT00000008112
ENSSSCG00000024874	NAN	ENSSSCT00000031325
ENSSSCG00000024145	PRR11	ENSSSCT00000026532
ENSSSCG00000012856	NAP1L4	ENSSSCT00000014052
ENSSSCG00000004123	NAN	ENSSSCT00000004558
ENSSSCG00000021322	NAN	ENSSSCT00000027404
ENSSSCG00000030579	NAN	ENSSSCT00000023896
ENSSSCG00000014455	NAN	ENSSSCT00000015803
ENSSSCG00000013632	C19orf38	ENSSSCT00000014887
ENSSSCG00000013326	DCDC1	ENSSSCT00000014553
ENSSSCG00000016334	SCLY	ENSSSCT00000017787
ENSSSCG00000026258	NAN	ENSSSCT00000029043
ENSSSCG00000030352	C12orf66	ENSSSCT00000032361
ENSSSCG00000000276	TARBP2	ENSSSCT00000000296
ENSSSCG00000023406	NAN	ENSSSCT00000025020
ENSSSCG00000029089	NAN	ENSSSCT00000027787
ENSSSCG00000016268	GPR55	ENSSSCT00000017715
ENSSSCG00000004160	PEX7	ENSSSCT00000004599
ENSSSCG00000012962	NAN	ENSSSCT00000014168
ENSSSCG00000010289	MICU1	ENSSSCT00000011261
ENSSSCG00000004920	NAN	ENSSSCT00000005430
ENSSSCG00000021619	OVCH2	ENSSSCT00000032189
ENSSSCG00000022895	NAN	ENSSSCT00000031571
ENSSSCG00000025985	NAN	ENSSSCT00000014362
ENSSSCG00000000464	C12orf56	ENSSSCT00000030713,ENSSSCT00000000502
ENSSSCG00000007131	CST7	ENSSSCT00000007803
ENSSSCG00000006195	PRDM14	ENSSSCT00000006790
ENSSSCG00000002035	C14orf119	ENSSSCT00000002277
ENSSSCG00000011183	NAN	ENSSSCT00000012246,ENSSSCT00000034378
ENSSSCG00000015545	GLUL	ENSSSCT00000016935
ENSSSCG00000011165	DIP2C	ENSSSCT00000012227
ENSSSCG00000026582	SEPHS1	ENSSSCT00000030446
ENSSSCG00000026223	NAN	ENSSSCT00000023012
ENSSSCG00000021398	WNT9B	ENSSSCT00000032555
ENSSSCG00000021397	PODXL2	ENSSSCT00000024591
ENSSSCG00000007669	NAN	ENSSSCT00000008409
ENSSSCG00000021935	NAN	ENSSSCT00000022366
ENSSSCG00000004732	PLA2G4F	ENSSSCT00000005228
ENSSSCG00000026342	NAN	ENSSSCT00000025152
ENSSSCG00000014802	NUMA1	ENSSSCT00000016153
ENSSSCG00000001207	PGBD1	ENSSSCT00000001305
ENSSSCG00000014044	NSD1	ENSSSCT00000015341
ENSSSCG00000013886	B3GNT3	ENSSSCT00000015172
ENSSSCG00000001875	NAN	ENSSSCT00000002100
ENSSSCG00000010319	SAMD8	ENSSSCT00000011296
ENSSSCG00000028838	NAN	ENSSSCT00000030666
ENSSSCG00000000681	P3H3	ENSSSCT00000000742
ENSSSCG00000008233	NAN	ENSSSCT00000009016
ENSSSCG00000008090	IL1A	ENSSSCT00000008863
ENSSSCG00000023884	NAN	ENSSSCT00000031443
ENSSSCG00000002721	NAN	ENSSSCT00000003015
ENSSSCG00000024208	NAN	ENSSSCT00000030232
ENSSSCG00000029051	NAN	ENSSSCT00000028638
ENSSSCG00000015114	NLRX1	ENSSSCT00000016480
ENSSSCG00000013023	RASGRP2	ENSSSCT00000014236
ENSSSCG00000026229	PCBD2	ENSSSCT00000027606
ENSSSCG00000013453	PLEKHJ1	ENSSSCT00000014697
ENSSSCG00000024061	TNNI1	ENSSSCT00000024604
ENSSSCG00000025786	NAN	ENSSSCT00000009784
ENSSSCG00000023667	NAN	ENSSSCT00000014896
ENSSSCG00000012288	CCDC120	ENSSSCT00000035332,ENSSSCT00000013437,ENSSSCT00000036233,ENSSSCT00000035529,ENSSSCT00000033295,ENSSSCT00000035705
ENSSSCG00000030418	SOX6	ENSSSCT00000014619
ENSSSCG00000000419	NAN	ENSSSCT00000000453
ENSSSCG00000023314	TEX19	ENSSSCT00000031421
ENSSSCG00000004728	CAPN3	ENSSSCT00000005221,ENSSSCT00000005224
ENSSSCG00000005126	PLAA	ENSSSCT00000005651
ENSSSCG00000021840	OR51B5	ENSSSCT00000023462
ENSSSCG00000004720	STARD9	ENSSSCT00000005213,ENSSSCT00000029439
ENSSSCG00000012283	ZNF81	ENSSSCT00000013432
ENSSSCG00000011233	DYNC1LI1	ENSSSCT00000012300
ENSSSCG00000009898	GCN1	ENSSSCT00000010848
ENSSSCG00000000007	TRMU	ENSSSCT00000000008
ENSSSCG00000009466	UCHL3	ENSSSCT00000010377
