"","mouse_log2FoldChange","mouse_padj","gene_name","rat_log2FoldChange","rat_pvalue","rat_padj","rabbit_log2FoldChange","rabbit_padj","pig_log2FoldChange","pig_padj","dm_mouse1_lps2","dm_mouse1_lps4","dm_mouse1_lps6","dm_mouse2_lps2","dm_mouse2_lps4","dm_mouse2_lps6","dm_mouse3_lps2","dm_mouse3_lps4","dm_mouse3_lps6","dm_mouse1_unst","dm_mouse2_unst","dm_mouse3_unst","dm_rat1_lps2","dm_rat1_lps4","dm_rat1_lps6","dm_rat2_lps2","dm_rat2_lps4","dm_rat2_lps6","dm_rat3_lps2","dm_rat3_lps4","dm_rat3_lps6","dm_rat1_unst","dm_rat2_unst","dm_rat3_unst","dm_rabbit1_lps2","dm_rabbit1_lps4","dm_rabbit1_lps6","dm_rabbit2_lps2","dm_rabbit2_lps4","dm_rabbit2_lps6","dm_rabbit3_lps2","dm_rabbit3_lps4","dm_rabbit3_lps6","dm_rabbit1_unst","dm_rabbit2_unst","dm_rabbit3_unst","dm_pig1_lps2","dm_pig1_lps4","dm_pig1_lps6","dm_pig2_lps2","dm_pig2_lps4","dm_pig2_lps6","dm_pig3_lps2","dm_pig3_lps4","dm_pig3_lps6","dm_pig1_unst","dm_pig2_unst","dm_pig3_unst","chromatin_modulators","cytokines_and_chemokines","ligases_and_deubiquitinases","viral_sensors","cytokine_receptors","enzymes","transcription_factors","TATA","CGI","divergence","kinases_and_phosphatases","regulatory","self_defense","apoptosis","inflammation","tata_class","cpg_class"
"ENSMUSG00000018930",8.30575689067523,0,"Ccl4",4.51230584970826,NA,3.72381203876309e-07,10.9770552610554,0,7.31187055694267,4.18929512126328e-93,0.288557958590881,0.17942061138959,0.327733218056004,0.850360699579721,0.521020705231781,0.77704369921705,0.673229056611666,0.450460231169801,0.626407171614249,0.74291667771322,1.16506594181881,0.737576006856841,0.135428533593914,0.238084473759098,0.656014745554718,0.595936317975819,0.53683707203532,0.971941236301667,0.362145745803317,0.16471798159123,0.898491664232702,1.51472247072753,1.46627293814306,0.87351278979879,0.463848406489114,1.24030078518355,1.57526971156688,0.254713007461457,0.271792326371432,0.722378453430946,0.318718877306239,0.326477672966934,0.835223922367959,NA,NA,NA,0.525826152972229,0.612822184832473,0.683198118342045,0.874958230120384,0.848857807962988,0.764276149345535,0.652661921149608,0.716343212123929,0.662347017529854,0.910751323487156,0.981006785891231,0.570958309361834,0,1,0,0,0,0,0,5.14e-05,0,2.00413195407691,0,0,0,0,1,"a","b"
"ENSMUSG00000034855",11.6236028015778,0,"Cxcl10",5.70851737043067,NA,1.11543486509197e-11,3.82993671418409,6.74756740972447e-07,3.85300418239728,5.87991535836717e-06,0.552383630904804,0.0594036059093727,0.0688581829567452,1.18493466014934,1.34145542119267,1.42628280511184,1.3221844592249,1.26015492431044,1.29049219486097,0.246985063985469,NA,NA,0.692726959535851,0.483119427989831,0.605720393243741,1.1419019174958,1.34383779669439,1.70479242280822,1.00591875235903,1.0692060857675,1.28531420682638,1.77499989212481,1.35112499273699,NA,0.177834779390419,0.0620541373232888,0.0481995231003631,0.0392199068446336,-0.000554897509800034,0.0322971317465335,0.0587389663913649,0.0599174210119074,0.0496060499008265,NA,0.0374722426856198,NA,1.40757874673108,1.29299156854956,1.74254286260994,1.35554836573071,1.24364491732614,1.50428233324854,1.47889966679577,1.41941809732983,1.56360245411271,0.34456991183829,1.64467854964116,1.68108608584486,0,1,0,0,0,0,0,0,0,3.05754308097741,0,0,1,0,1,"b","b"
"ENSMUSG00000035692",6.47542849088254,0,"Isg15",6.57405767399001,NA,1.24805628624741e-39,2.1644373743677,0.0287650603743689,4.46014590191374,1.27193798070279e-223,0.463785938472887,0.320656086574966,0.287257395322174,0.792001807971388,0.597084051188434,0.583317054187767,0.829025171333253,0.585732591266785,0.414473198934901,0.465682935533025,0.55864676785504,0.871165634935562,0.497090264836651,0.271461623451756,0.169887525628186,0.77367337340622,0.610296799002266,0.657397187966948,0.698869293181846,0.326755738121087,0.380211410247613,1.30351462775769,0.725831635280142,0.244709421353387,0.32652563676231,0.194256269315512,0.0804946403174722,-0.111589482103582,-0.0793753677245861,-0.072032645803483,-0.0590285304455341,-0.0548606997724256,0.0598222839276308,0.373439651182196,0.455889234431412,0.253170856928354,0.965176714927096,0.691086391935411,1.06449059026766,0.847640963017227,0.703406029437148,0.779204803508039,1.04796490588051,0.940338289197404,1.12634709849549,0.760425295704707,1.1176484061187,0.84500736361727,0,0,0,0,0,0,0,0,0,1.52607547265705,0,0,1,0,0,"b","b"
"ENSMUSG00000035042",4.77097157702336,3.9425033338916e-273,"Ccl5",7.6522060001815,NA,1.15674654878359e-30,3.00616595903852,0.0011774483445968,4.06253544525452,8.00094447346333e-21,0.444891142375234,0.412080146390597,0.409763127026096,0.662976233637881,0.502751236782353,0.614128821804804,0.522007719640043,0.410698444644934,0.314172913220044,0.158740062607288,0.616163436760269,0.325041463525646,1.0956951646543,1.12676585603504,1.0270872754062,1.20751294496469,1.55584955324443,1.78015036570006,1.2369032971138,1.55228059234766,1.56280960554455,NA,NA,NA,0.209978492701925,0.157670268924448,0.187071661461969,-0.145651522925837,-0.109343962609955,-0.0538669011148883,-0.0898832322454717,-0.0711667619779844,-0.0513597424336241,0.729410628974379,0.929788746183497,0.754904115813309,0.744473153071782,0.577273738024421,0.805779595981648,0.968767186286783,0.99208683128454,0.993968105999164,0.890561628009782,0.79221466710094,0.83797718414627,1.54231398169594,1.64726877679536,1.61436753096956,0,1,0,0,0,0,0,2.85e-05,0,1.5757799819158,1,1,0,0,1,"a","b"
"ENSMUSG00000027399",9.56317527347778,7.98956538152038e-237,"Il1a",9.12803145364613,NA,5.93385984129591e-271,4.90287890927231,7.02617653980002e-14,6.47630524838548,3.6436025633058e-33,0.0266751328960784,0.053082046170735,0.103646102475575,0.514981941675592,0.434346493953612,0.483445976230316,0.641725652510898,0.51449939863324,0.474319063297745,-0.00290908602315243,0.0205640736941255,0.047727559740445,0.0699662234625668,0.178324159375169,0.16084482710429,0.308851221675643,0.371817578918505,0.411299974713212,0.0328438405092392,0.117674798066028,0.106652948223991,NA,0,0.067297333389662,0.733037770314504,0.992284232946168,0.904510202653342,0.077972829047459,0.243087106345909,0.224355649939313,0.256705591174182,0.154254051018646,0.0894769609084229,0.246450120167143,0.354019945836749,0.189600044837396,0.127544135943102,0.129120027613282,0.120699998930921,0.190625995069048,0.105171266200227,0.110585493591189,0.101589653844691,0.0715072237911124,-0.0224107702587207,0.0800814960010543,0.0855243638332339,0.0464864445432898,0,1,0,0,0,0,0,3.42e-06,0,1.84772430279243,0,0,0,0,1,"a","b"
"ENSMUSG00000017652",9.28435924921173,1.13249894725757e-234,"Cd40",4.92363144947901,NA,6.07832050597012e-196,4.2992160014518,6.0216433583908e-67,5.46852017877334,2.71702684654592e-289,0.229199534390221,0.158954910936012,0.108957273197106,0.508608479986331,0.518481571242417,0.55320087164902,0.516606684314214,0.461786279723553,0.495907836672721,0,NA,-0.00872366627393695,0.420795723860613,0.378582166806477,0.323561277049306,0.411097603658899,0.568651413600483,0.731946999622101,0.452219139543129,0.539815747498838,0.47020718292588,0.0333539790693909,0.111315198572164,0.0831161715791791,0.198312395912402,0.0979413908396121,0.139571389649828,0.228007822064356,0.0145974109618481,0.10455372687853,0.175931173507338,0.07477727578204,0.0946328255214367,0.0506360663847421,0.0379562213092359,0.0138664066284118,0.333642945647492,0.341571349621493,0.313937567476283,0.237319187759184,0.263359635855386,0.357582380119247,0.240945522157857,0.24026037140422,0.185733110819007,-0.0127841606936475,0.079413134622239,0.0503484146150287,0,0,0,0,0,0,0,0,0,1.68792888126943,0,0,1,0,1,"b","b"
"ENSMUSG00000027832",9.38051922895637,3.55805149174727e-228,"Ptx3",0.536328105650172,NA,NA,2.44735909467284,6.89398302621454e-06,3.95579448406776,3.2452207752871e-09,1.01885624353079,1.05257416370574,1.02908030232497,1.28168835931374,1.19718459135392,1.37619129501053,1.26109268510521,1.3529317148263,1.28131957831693,0.0461281720130362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0189254957344653,0,-0.0062541771256599,0.01215859407163,0.0658716693624566,0.0457796666102255,0.0316432904659802,0.029048365649474,0.0331584039381638,NA,0.020940611660059,NA,0.250577076940701,0.735544286462552,0.654035527408825,0.183048142041248,0.274382602821804,0.480501817500641,0.833427137891264,0.31276439840836,0.417010580855737,NA,NA,NA,0,0,0,0,0,0,0,0,0,2.67174959456706,0,0,0,0,0,"b","b"
"ENSMUSG00000017009",5.2960892153594,8.62534541322406e-225,"Sdc4",5.79968738185529,NA,0,3.92809819181005,1.95904221373527e-16,3.74617123922927,2.35778619408552e-17,0.129235476004014,0.18690168142297,0.184889816277758,0.772268979336248,0.733121233563399,0.748625594434347,0.7776564976065,0.815587556091788,0.749056033175171,0.129588958235502,0.189041875830524,0.287478794803823,-0.0406776528454235,0.209529864855652,0.595517449994757,0.0488421751926298,0.141504849055329,0.398251813116523,0.149247302245891,0.0742455161045208,0.394060745248482,0.218851875637901,0.357295840930387,0.288951708051591,0.0656573440692785,0.0309120672999956,0.0626908271258055,0.0352208999867754,0.00858250610737277,0.00763709197981077,0.0181715729472389,0.026848073983587,0.160768422451173,NA,NA,NA,0.0310296815191198,0.0166371554535887,0.0310497546817441,0,0.0244203627825017,0.0359348291743098,0.0269551910701262,0.0373691645466712,0.0268158059992611,NA,0.0673754402479778,NA,0,0,0,0,0,0,0,0,280,0.796346116210948,0,0,0,0,0,"b","a"
"ENSMUSG00000018796",4.45851601992419,2.48589897423574e-218,"Acsl1",3.41675543972224,NA,2.6737066144748e-140,3.2322999814701,6.20848529280349e-07,3.0382970627256,0.000258141494860106,0.141357278376133,0.156210124763924,0.168739386441371,0.186785413487855,0.186680021089384,0.132622139472121,0.220939894684447,0.18543339053381,0.124614792992142,0.0393235819619379,-0.0084357279807149,0.00846475020223214,0.180206533289391,0.289872319014395,0.227972500609953,0.143201393727815,0.298601052562823,0.330530337149128,0.0996901652862012,0.248802126005636,0.31474693149345,0.00354853495613033,0.0194844453088062,-0.0140736972879739,0.0179576592415864,0,0,0.110714157370838,-0.0206059678156452,0,0.0367446606595292,0.0180900305620393,0.0131526565287101,NA,NA,NA,0.27820153206383,0.258675325723864,0.0443404805176033,-0.0112105802370606,0.0746972592864357,0.0614999515251931,0.123394034250754,0.199718691996514,0.107064448896123,NA,NA,NA,0,0,0,0,0,1,0,0,77,-0.311114587726695,0,0,0,0,0,"b","a"
"ENSMUSG00000021025",4.3451708791243,5.80568826221017e-211,"Nfkbia",3.16937573131996,NA,7.58669576399445e-116,2.05309243151195,1.95762568091576e-17,4.01352292561018,4.98651170638146e-183,-0.211456003275707,-0.0820319320075673,-0.0259717762984283,0.0895504502390977,-0.0254381620441612,0.123790002051222,0.0918837166364825,0.173922706397212,0.199059747724149,0.170711574309772,0.275674108108749,0.394439803229059,0.153327676262752,0.176307546321777,0.20191524340366,0.0578788296289312,0.266259931485782,0.243065145121574,0.263192596592452,0.323137915017987,0.222244535011736,0.279181192873501,0.323581086479361,0.32051046283492,0.141834716048617,0.326109519422982,0.173267079840804,-0.123069966818074,0.023303761349304,-0.00557904566026074,-0.000502474065494363,-0.158517408221017,-0.187010013243289,0.225034375155877,0.0602389467619484,0.219098274801498,0.255450391858626,0.162184382254422,0.173377028297639,0.152477130428483,0.199163338222072,0.216296483593504,0.132742649085862,0.0956473389152908,0.0280445390588828,0.402668975467531,0.234946613636268,0.294368882330807,0,0,0,0,0,0,0,0,119,0.441660431623055,0,0,0,0,0,"b","a"
