"name"	"raw file 1"	"raw file 2"	"raw file 3"	"species"	"individual"	"condition"	"run"
"mouse1_unst"	"24754_6_S1_L001_I1_001.fastq.gz"	"24754_6_S1_L001_R1_001.fastq.gz"	"24754_6_S1_L001_R2_001.fastq.gz"	"mouse"	1	"unst"	"24754_6"
"mouse1_LPS2"	"24754_7_S1_L001_I1_001.fastq.gz"	"24754_7_S1_L001_R1_001.fastq.gz"	"24754_7_S1_L001_R2_001.fastq.gz"	"mouse"	1	"LPS2"	"24754_7"
"mouse1_LPS4"	"24728_6_S1_L001_I1_001.fastq.gz"	"24728_6_S1_L001_R1_001.fastq.gz"	"24728_6_S1_L001_R2_001.fastq.gz"	"mouse"	1	"LPS4"	"24728_6"
"mouse1_LPS6"	"24754_8_S1_L001_I1_001.fastq.gz"	"24754_8_S1_L001_R1_001.fastq.gz"	"24754_8_S1_L001_R2_001.fastq.gz"	"mouse"	1	"LPS6"	"24754_8"
"mouse1_PIC2"	"24728_7_S1_L001_I1_001.fastq.gz"	"24728_7_S1_L001_R1_001.fastq.gz"	"24728_7_S1_L001_R2_001.fastq.gz"	"mouse"	1	"PIC2"	"24728_7"
"mouse1_PIC4"	"24728_8_S1_L001_I1_001.fastq.gz"	"24728_8_S1_L001_R1_001.fastq.gz"	"24728_8_S1_L001_R2_001.fastq.gz"	"mouse"	1	"PIC4"	"24728_8"
"mouse2_unst"	"25119_1_S1_L001_I1_001.fastq.gz"	"25119_1_S1_L001_R1_001.fastq.gz"	"25119_1_S1_L001_R2_001.fastq.gz"	"mouse"	2	"unst"	"25119_1"
"mouse2_LPS2"	"25119_2_S1_L001_I1_001.fastq.gz"	"25119_2_S1_L001_R1_001.fastq.gz"	"25119_2_S1_L001_R2_001.fastq.gz"	"mouse"	2	"LPS2"	"25119_2"
"mouse2_LPS4"	"25119_3_S1_L001_I1_001.fastq.gz"	"25119_3_S1_L001_R1_001.fastq.gz"	"25119_3_S1_L001_R2_001.fastq.gz"	"mouse"	2	"LPS4"	"25119_3"
"mouse2_LPS6"	"25119_4_S1_L001_I1_001.fastq.gz"	"25119_4_S1_L001_R1_001.fastq.gz"	"25119_4_S1_L001_R2_001.fastq.gz"	"mouse"	2	"LPS6"	"25119_4"
"mouse2_PIC2"	"25119_5_S1_L001_I1_001.fastq.gz"	"25119_5_S1_L001_R1_001.fastq.gz"	"25119_5_S1_L001_R2_001.fastq.gz"	"mouse"	2	"PIC2"	"25119_5"
"mouse2_PIC4"	"25119_6_S1_L001_I1_001.fastq.gz"	"25119_6_S1_L001_R1_001.fastq.gz"	"25119_6_S1_L001_R2_001.fastq.gz"	"mouse"	2	"PIC4"	"25119_6"
"mouse2_PIC6"	"25119_7_S1_L001_I1_001.fastq.gz"	"25119_7_S1_L001_R1_001.fastq.gz"	"25119_7_S1_L001_R2_001.fastq.gz"	"mouse"	2	"PIC6"	"25119_7"
"mouse2_PIC6A"	"25119_8_S1_L001_I1_001.fastq.gz"	"25119_8_S1_L001_R1_001.fastq.gz"	"25119_8_S1_L001_R2_001.fastq.gz"	"mouse"	2	"PIC6A"	"25119_8"
"mouse3_unst"	"25120_8_S1_L001_I1_001.fastq.gz"	"25120_8_S1_L001_R1_001.fastq.gz"	"25120_8_S1_L001_R2_001.fastq.gz"	"mouse"	3	"unst"	"25120_8"
"mouse3_LPS2"	"25135_1_S1_L001_I1_001.fastq.gz"	"25135_1_S1_L001_R1_001.fastq.gz"	"25135_1_S1_L001_R2_001.fastq.gz"	"mouse"	3	"LPS2"	"25135_1"
"mouse3_LPS4"	"25135_2_S1_L001_I1_001.fastq.gz"	"25135_2_S1_L001_R1_001.fastq.gz"	"25135_2_S1_L001_R2_001.fastq.gz"	"mouse"	3	"LPS4"	"25135_2"
"mouse3_LPS6"	"25135_3_S1_L001_I1_001.fastq.gz"	"25135_3_S1_L001_R1_001.fastq.gz"	"25135_3_S1_L001_R2_001.fastq.gz"	"mouse"	3	"LPS6"	"25135_3"
"mouse3_PIC2"	"25135_4_S1_L001_I1_001.fastq.gz"	"25135_4_S1_L001_R1_001.fastq.gz"	"25135_4_S1_L001_R2_001.fastq.gz"	"mouse"	3	"PIC2"	"25135_4"
"mouse3_PIC4"	"25135_5_S1_L001_I1_001.fastq.gz"	"25135_5_S1_L001_R1_001.fastq.gz"	"25135_5_S1_L001_R2_001.fastq.gz"	"mouse"	3	"PIC4"	"25135_5"
"mouse3_PIC6"	"25135_6_S1_L001_I1_001.fastq.gz"	"25135_6_S1_L001_R1_001.fastq.gz"	"25135_6_S1_L001_R2_001.fastq.gz"	"mouse"	3	"PIC6"	"25135_6"
"rat1_unst"	"25135_7_S1_L001_I1_001.fastq.gz"	"25135_7_S1_L001_R1_001.fastq.gz"	"25135_7_S1_L001_R2_001.fastq.gz"	"rat"	1	"unst"	"25135_7"
"rat1_LPS2"	"25135_8_S1_L001_I1_001.fastq.gz"	"25135_8_S1_L001_R1_001.fastq.gz"	"25135_8_S1_L001_R2_001.fastq.gz"	"rat"	1	"LPS2"	"25135_8"
"rat1_LPS4"	"25136_1_S1_L001_I1_001.fastq.gz"	"25136_1_S1_L001_R1_001.fastq.gz"	"25136_1_S1_L001_R2_001.fastq.gz"	"rat"	1	"LPS4"	"25136_1"
"rat1_LPS6"	"25136_2_S1_L001_I1_001.fastq.gz"	"25136_2_S1_L001_R1_001.fastq.gz"	"25136_2_S1_L001_R2_001.fastq.gz"	"rat"	1	"LPS6"	"25136_2"
"rat1_PIC2"	"25136_3_S1_L001_I1_001.fastq.gz"	"25136_3_S1_L001_R1_001.fastq.gz"	"25136_3_S1_L001_R2_001.fastq.gz"	"rat"	1	"PIC2"	"25136_3"
"rat1_PIC4"	"25136_4_S1_L001_I1_001.fastq.gz"	"25136_4_S1_L001_R1_001.fastq.gz"	"25136_4_S1_L001_R2_001.fastq.gz"	"rat"	1	"PIC4"	"25136_4"
"rat1_PIC6"	"25136_5_S1_L001_I1_001.fastq.gz"	"25136_5_S1_L001_R1_001.fastq.gz"	"25136_5_S1_L001_R2_001.fastq.gz"	"rat"	1	"PIC6"	"25136_5"
"rat2_unst"	"25120_1_S1_L001_I1_001.fastq.gz"	"25120_1_S1_L001_R1_001.fastq.gz"	"25120_1_S1_L001_R2_001.fastq.gz"	"rat"	2	"unst"	"25120_1"
"rat2_LPS2"	"25120_2_S1_L001_I1_001.fastq.gz"	"25120_2_S1_L001_R1_001.fastq.gz"	"25120_2_S1_L001_R2_001.fastq.gz"	"rat"	2	"LPS2"	"25120_2"
"rat2_LPS4"	"25120_3_S1_L001_I1_001.fastq.gz"	"25120_3_S1_L001_R1_001.fastq.gz"	"25120_3_S1_L001_R2_001.fastq.gz"	"rat"	2	"LPS4"	"25120_3"
"rat2_LPS6"	"25120_4_S1_L001_I1_001.fastq.gz"	"25120_4_S1_L001_R1_001.fastq.gz"	"25120_4_S1_L001_R2_001.fastq.gz"	"rat"	2	"LPS6"	"25120_4"
"rat2_PIC2"	"25120_5_S1_L001_I1_001.fastq.gz"	"25120_5_S1_L001_R1_001.fastq.gz"	"25120_5_S1_L001_R2_001.fastq.gz"	"rat"	2	"PIC2"	"25120_5"
"rat2_PIC4"	"25120_6_S1_L001_I1_001.fastq.gz"	"25120_6_S1_L001_R1_001.fastq.gz"	"25120_6_S1_L001_R2_001.fastq.gz"	"rat"	2	"PIC4"	"25120_6"
"rat2_PIC6"	"25120_7_S1_L001_I1_001.fastq.gz"	"25120_7_S1_L001_R1_001.fastq.gz"	"25120_7_S1_L001_R2_001.fastq.gz"	"rat"	2	"PIC6"	"25120_7"
"rat3_unst"	"25220_1_S1_L001_I1_001.fastq.gz"	"25220_1_S1_L001_R1_001.fastq.gz"	"25220_1_S1_L001_R2_001.fastq.gz"	"rat"	3	"unst"	"25220_1"
"rat3_LPS2"	"25220_2_S1_L001_I1_001.fastq.gz"	"25220_2_S1_L001_R1_001.fastq.gz"	"25220_2_S1_L001_R2_001.fastq.gz"	"rat"	3	"LPS2"	"25220_2"
"rat3_LPS4"	"25220_3_S1_L001_I1_001.fastq.gz"	"25220_3_S1_L001_R1_001.fastq.gz"	"25220_3_S1_L001_R2_001.fastq.gz"	"rat"	3	"LPS4"	"25220_3"
"rat3_LPS6"	"25220_4_S1_L001_I1_001.fastq.gz"	"25220_4_S1_L001_R1_001.fastq.gz"	"25220_4_S1_L001_R2_001.fastq.gz"	"rat"	3	"LPS6"	"25220_4"
