geneid,mouse_TATA_100bp_TSS_fimo.txt,mouse_most_abundant_03_01_ov_cpg.txt,mouse_most_abundant_05_01_ov_cpg.txt
ENSMUSG00000018930,5.14E-05,0,0
ENSMUSG00000031762,0,389,389
ENSMUSG00000034855,0,0,0
ENSMUSG00000035692,0,0,0
ENSMUSG00000040026,0,0,0
ENSMUSG00000030142,0,0,0
ENSMUSG00000035042,2.85E-05,0,0
ENSMUSG00000028270,0,0,0
ENSMUSG00000027399,3.42E-06,0,0
ENSMUSG00000017652,0,0,0
ENSMUSG00000027832,0,0,0
ENSMUSG00000017009,0,280,280
ENSMUSG00000018796,0,77,77
ENSMUSG00000022126,0,0,0
ENSMUSG00000021025,0,119,119
ENSMUSG00000024789,0,400,600
ENSMUSG00000000982,0,0,0
ENSMUSG00000025790,0,400,542
ENSMUSG00000044701,0,0,0
ENSMUSG00000037405,0,0,0
ENSMUSG00000020120,0,0,0
ENSMUSG00000039997,0,0,0
ENSMUSG00000004296,1.58E-05,0,0
ENSMUSG00000078920,0,0,0
ENSMUSG00000025225,0,383,383
ENSMUSG00000031488,0,232,232
ENSMUSG00000033213,0,212,212
ENSMUSG00000034459,0,0,0
ENSMUSG00000028773,0,282,282
ENSMUSG00000041827,0,0,0
ENSMUSG00000105504,0,0,0
ENSMUSG00000030162,0,0,0
ENSMUSG00000102037,0,0,0
ENSMUSG00000038037,0,400,600
ENSMUSG00000036067,0,291,291
ENSMUSG00000042677,0,400,405
ENSMUSG00000028268,0,0,0
ENSMUSG00000025746,0,0,0
ENSMUSG00000057596,0,0,0
ENSMUSG00000002699,0,0,0
ENSMUSG00000019850,0,287,287
ENSMUSG00000006818,0,222,222
ENSMUSG00000024401,5.5E-06,0,0
ENSMUSG00000030717,0,0,0
ENSMUSG00000054203,0,0,0
ENSMUSG00000022094,0,254,254
ENSMUSG00000026875,0,0,0
ENSMUSG00000032688,0,400,588
ENSMUSG00000026536,0,0,0
ENSMUSG00000090272,0,0,0
ENSMUSG00000024675,0,0,0
ENSMUSG00000027737,0,0,0
ENSMUSG00000027035,0,253,253
ENSMUSG00000045664,0,0,0
ENSMUSG00000078763,0,0,0
ENSMUSG00000039735,0,400,600
ENSMUSG00000037321,0,0,0
ENSMUSG00000016528,0,121,121
ENSMUSG00000099974,0,0,0
ENSMUSG00000021280,0,0,0
ENSMUSG00000035385,0,0,0
ENSMUSG00000040339,0,400,600
ENSMUSG00000027995,0,7,7
ENSMUSG00000053338,0,0,0
ENSMUSG00000063234,0,0,0
ENSMUSG00000050395,0,0,0
ENSMUSG00000029798,0,0,0
ENSMUSG00000033538,0,0,0
ENSMUSG00000048216,0,0,0
ENSMUSG00000016283,0,0,0
ENSMUSG00000064289,0,0,0
ENSMUSG00000035208,0,0,0
ENSMUSG00000054855,0,121,121
ENSMUSG00000037849,0,0,0
ENSMUSG00000043336,0,169,169
ENSMUSG00000074141,0,0,0
ENSMUSG00000053113,0,400,479
ENSMUSG00000034422,0,0,0
ENSMUSG00000020407,0,0,0
ENSMUSG00000005087,0,0,0
ENSMUSG00000031431,5.14E-05,0,0
ENSMUSG00000089929,0,0,0
ENSMUSG00000025314,0,330,330
ENSMUSG00000018899,0,218,218
ENSMUSG00000078453,0,0,0
ENSMUSG00000024772,0,316,316
ENSMUSG00000035164,0,400,600
ENSMUSG00000030156,0,0,0
ENSMUSG00000018500,0,400,587
ENSMUSG00000028266,0,400,600
ENSMUSG00000044162,0,0,0
ENSMUSG00000039747,0,125,125
ENSMUSG00000045932,0,0,0
ENSMUSG00000014599,0,0,0
ENSMUSG00000020641,0,0,0
ENSMUSG00000061731,0,400,479
ENSMUSG00000026896,0,0,0
ENSMUSG00000026821,0,19,19
ENSMUSG00000003283,0,132,132
ENSMUSG00000040296,0,0,0
ENSMUSG00000025959,0,178,378
ENSMUSG00000029561,0,0,0
ENSMUSG00000040253,0,0,0
ENSMUSG00000027555,0,179,179
ENSMUSG00000027347,0,286,286
ENSMUSG00000020227,0,400,409
ENSMUSG00000040483,0,0,0
ENSMUSG00000021929,0,400,509
ENSMUSG00000022358,0,294,294
ENSMUSG00000035356,0,400,589
ENSMUSG00000032691,0,0,0
ENSMUSG00000023947,0,214,214
ENSMUSG00000020638,0,133,133
ENSMUSG00000035107,0,314,314
ENSMUSG00000025321,0,0,0
ENSMUSG00000025076,0,379,379
ENSMUSG00000037580,4.21E-05,215,215
ENSMUSG00000063193,1.37E-05,0,0
ENSMUSG00000030921,0,0,0
ENSMUSG00000023991,0,143,97
ENSMUSG00000020178,0,161,161
ENSMUSG00000025969,0,346,546
ENSMUSG00000037921,0,0,0
ENSMUSG00000030595,0,400,554
ENSMUSG00000027776,0,0,0
ENSMUSG00000041135,0,52,52
ENSMUSG00000017830,0,0,0
ENSMUSG00000046245,0,0,0
ENSMUSG00000051413,0,400,475
ENSMUSG00000069874,0,0,0
ENSMUSG00000046031,0,0,0
ENSMUSG00000016496,0,0,0
ENSMUSG00000039699,0,0,0
ENSMUSG00000042129,0,240,240
ENSMUSG00000050737,0,0,0
ENSMUSG00000035678,0,189,189
ENSMUSG00000056069,0,337,337
ENSMUSG00000028163,0,189,189
ENSMUSG00000079659,0,375,375
ENSMUSG00000046223,0,0,0
ENSMUSG00000035352,0,0,0
ENSMUSG00000031712,0,0,0
ENSMUSG00000043953,0,0,0
ENSMUSG00000031004,0,400,436
ENSMUSG00000032000,0,0,0
ENSMUSG00000039934,0,236,236
