gene,name,human_log2FC,human_padj,rhesus_log2FC,rhesus_padj,rat_log2FC,rat_padj,mouse_log2FC,mouse_padj,divergence,TFBM,H3K4_length,TATA,CGI,DM_unst,DM_pIC4,DM_pIC2,DM_pIC8,cytokines_and_chemokines,cytokines_receptors,transcription_factors,kinases_and_phosphatases,dNdS_29M,gain_loss_rate_pval,age_PTHR7_wagner,cellular_PPIs,viral_PPIs,viral_immunomodulators_PPI
ENSG00000171855,IFNB1,9.06640505491063,5.86e-133,12.1807537997701,7.97e-43,13.1427905451656,1.48e-69,11.8933291165321,1.14e-105,1.85694410828028,NA,NA,0,NA,NA,1.39963014065502,NA,1.00290380058545,1,0,0,0,0.71,0,6,2,1,0
ENSG00000115009,CCL20,8.33084165174988,9.21e-91,7.56402521294941,8.5e-15,3.8561397364606,0.021791261744223,8.86318022597696,5.28e-14,2.19004777567496,364,3268,13.4583,NA,NA,1.70490987561974,NA,0.882720342778387,1,0,0,0,0.48,0.448,7,4,0,0
ENSG00000118503,TNFAIP3,4.08893799754055,2.03e-82,5.78978847891017,5.05e-86,5.29456390246197,3.2e-09,5.62136717180689,2.69e-49,0.018695670375984,1401,8605,0,172,-0.039168434576035,1.0929683636928,1.84563069055421,0.542567204791814,0,0,0,0,0.1,0.884,6,66,1,0
ENSG00000100906,NFKBIA,4.03816355766832,3.7e-79,5.29729752529233,1.72e-75,3.93151775052469,3.17e-33,4.94896437950934,2.53e-59,-0.346858342372396,941,5789,0,138,0.203659044262297,1.02606548636079,1.63209403434635,0.713121359004756,0,0,0,0,0.06,0.409,10,152,9,0
ENSG00000136244,IL6,8.19929661846789,1.8e-77,5.9634011170707,6.01e-11,3.74205539359416,0.025682541172702,8.60914776053287,3.43e-37,2.07848262644144,402,2865,0,NA,NA,NA,1.59054010789232,0.74429393150425,1,0,0,0,NA,0.08,8,4,2,0
ENSG00000077150,NFKB2,2.4950106137371,4.31e-65,2.30615590246653,1.08e-22,2.44565832392655,5.24e-18,2.32683995684571,8.25e-42,-4.36998395870627,800,3869,0,395,NA,NA,NA,0.027946886807018,0,0,1,0,NA,0.821,9,191,5,0
ENSG00000144802,NFKBIZ,6.7400662773563,3.29e-62,5.02893736277326,2.74e-20,4.89089233537239,1.48e-19,5.35271212428933,2.32e-32,0.312633616064678,579,4443,0,400,NA,1.08837069312344,1.21175057412901,0.678333851185636,0,0,0,0,0.24,0.409,8,38,0,0
ENSG00000104856,RELB,2.55550708070679,1.46e-56,2.93834948101162,1.46e-14,2.55095267769332,0.000958553258987,2.36640797357965,1.63e-24,-2.0538272348623,278,1236,0,275,NA,NA,NA,0.160452691206005,0,0,1,0,0.08,0.821,5,81,1,0
ENSG00000100918,REC8,4.70533600626823,1.25e-50,3.5345997653486,4.75e-10,1.29945988911216,0.274136765059484,3.89839922200349,0.000404006542347,1.46898774937696,NA,NA,0,NA,NA,NA,NA,0.092226216699132,0,0,0,0,NA,0.645,5,0,0,0
ENSG00000271503,CCL5,8.27294824451699,6.74e-49,9.56778035145825,9.06e-32,11.0378152436343,3.82e-55,9.62519907387226,2.82e-78,1.06792722425342,NA,NA,0,NA,NA,0.913155321179429,NA,1.22844588608561,1,0,0,1,NA,0,NA,0,1,0
