human,rhesus,rat,mouse
ENSG00000171855,ENSMMUG00000019067,ENSRNOG00000006268,ENSMUSG00000048806
ENSG00000115009,ENSMMUG00000013250,ENSRNOG00000015992,ENSMUSG00000026166
ENSG00000118503,ENSMMUG00000008869,ENSRNOG00000049517,ENSMUSG00000019850
ENSG00000100906,ENSMMUG00000020374,ENSRNOG00000007390,ENSMUSG00000021025
ENSG00000136244,ENSMMUG00000019983,ENSRNOG00000010278,ENSMUSG00000025746
ENSG00000077150,ENSMMUG00000002990,ENSRNOG00000019311,ENSMUSG00000025225
ENSG00000144802,ENSMMUG00000021568,ENSRNOG00000031163,ENSMUSG00000035356
ENSG00000104856,ENSMMUG00000014153,ENSRNOG00000033235,ENSMUSG00000002983
ENSG00000100918,ENSMMUG00000012480,ENSRNOG00000019503,ENSMUSG00000002324
ENSG00000271503,ENSMMUG00000004823,ENSRNOG00000010906,ENSMUSG00000035042
ENSG00000056558,ENSMMUG00000020123,ENSRNOG00000048914,ENSMUSG00000026875
ENSG00000130589,ENSMMUG00000006070,ENSRNOG00000013267,ENSMUSG00000027580
ENSG00000125347,ENSMMUG00000008100,ENSRNOG00000008144,ENSMUSG00000018899
ENSG00000178860,ENSMMUG00000000947,ENSRNOG00000007540,ENSMUSG00000025930
ENSG00000163660,ENSMMUG00000016497,ENSRNOG00000011586,ENSMUSG00000027829
ENSG00000134070,ENSMMUG00000019932,ENSRNOG00000021817,ENSMUSG00000060477
ENSG00000221978,ENSMMUG00000006904,ENSRNOG00000018691,ENSMUSG00000029068
ENSG00000108691,ENSMMUG00000000288,ENSRNOG00000007159,ENSMUSG00000035385
ENSG00000185507,ENSMMUG00000004014,ENSRNOG00000017414,ENSMUSG00000025498
ENSG00000128342,ENSMMUG00000005542,ENSRNOG00000007002,ENSMUSG00000034394
ENSG00000100739,ENSMMUG00000029215,ENSRNOG00000004488,ENSMUSG00000041347
ENSG00000115008,ENSMMUG00000019777,ENSRNOG00000004575,ENSMUSG00000027399
ENSG00000169245,ENSMMUG00000020903,ENSRNOG00000022256,ENSMUSG00000034855
ENSG00000171223,ENSMMUG00000005688,ENSRNOG00000042838,ENSMUSG00000052837
ENSG00000090339,ENSMMUG00000014896,ENSRNOG00000020679,ENSMUSG00000037405
ENSG00000167615,ENSMMUG00000021629,ENSRNOG00000018642,ENSMUSG00000035545
ENSG00000185338,ENSMMUG00000010956,ENSRNOG00000002568,ENSMUSG00000038037
ENSG00000023445,ENSMMUG00000003398,ENSRNOG00000005731,ENSMUSG00000032000
ENSG00000125538,ENSMMUG00000019778,ENSRNOG00000004649,ENSMUSG00000027398
ENSG00000163874,ENSMMUG00000010323,ENSRNOG00000009131,ENSMUSG00000042677
ENSG00000198888,ENSMMUG00000028699,ENSRNOG00000030644,ENSMUSG00000064341
ENSG00000156218,ENSMMUG00000013670,ENSRNOG00000010840,ENSMUSG00000070469
ENSG00000013441,ENSMMUG00000006640,ENSRNOG00000025768,ENSMUSG00000026034
ENSG00000168010,ENSMMUG00000001293,ENSRNOG00000019413,ENSMUSG00000047767
ENSG00000228253,ENSMMUG00000028684,ENSRNOG00000033299,ENSMUSG00000064356
ENSG00000198695,ENSMMUG00000028672,ENSRNOG00000029042,ENSMUSG00000064368
ENSG00000112149,ENSMMUG00000020289,ENSRNOG00000018092,ENSMUSG00000015396
ENSG00000132530,ENSMMUG00000009602,ENSRNOG00000037371,ENSMUSG00000040483
ENSG00000111816,ENSMMUG00000014635,ENSRNOG00000000543,ENSMUSG00000019779
ENSG00000137331,ENSMMUG00000014072,ENSRNOG00000000827,ENSMUSG00000003541
ENSG00000168675,ENSMMUG00000004032,ENSRNOG00000016879,ENSMUSG00000024544
ENSG00000146232,ENSMMUG00000022689,ENSRNOG00000019907,ENSMUSG00000023947
ENSG00000117616,ENSMMUG00000002970,ENSRNOG00000017309,ENSMUSG00000037266
ENSG00000163545,ENSMMUG00000018584,ENSRNOG00000000034,ENSMUSG00000009772
ENSG00000069399,ENSMMUG00000013776,ENSRNOG00000043416,ENSMUSG00000053175
ENSG00000198763,ENSMMUG00000028695,ENSRNOG00000031033,ENSMUSG00000064345
ENSG00000101104,ENSMMUG00000013209,ENSRNOG00000012750,ENSMUSG00000054582
ENSG00000173209,ENSMMUG00000008097,ENSRNOG00000052142,ENSMUSG00000020288
ENSG00000145779,ENSMMUG00000017684,ENSRNOG00000026136,ENSMUSG00000062210
ENSG00000198899,ENSMMUG00000028683,ENSRNOG00000031979,ENSMUSG00000064357
ENSG00000105939,ENSMMUG00000006550,ENSRNOG00000013948,ENSMUSG00000029826
ENSG00000132680,ENSMMUG00000004648,ENSRNOG00000020139,ENSMUSG00000028060
ENSG00000105371,ENSMMUG00000009343,ENSRNOG00000042078,ENSMUSG00000001014
ENSG00000092529,ENSMMUG00000001534,ENSRNOG00000008609,ENSMUSG00000079110
ENSG00000204681,ENSMMUG00000021483,ENSRNOG00000000774,ENSMUSG00000024462
ENSG00000172432,ENSMMUG00000008890,ENSRNOG00000019332,ENSMUSG00000023952
ENSG00000050344,ENSMMUG00000003615,ENSRNOG00000010886,ENSMUSG00000029832
ENSG00000184557,ENSMMUG00000017522,ENSRNOG00000002946,ENSMUSG00000053113
ENSG00000147689,ENSMMUG00000006049,ENSRNOG00000006251,ENSMUSG00000051225
ENSG00000198712,ENSMMUG00000028686,ENSRNOG00000030371,ENSMUSG00000064354
ENSG00000067798,ENSMMUG00000021329,ENSRNOG00000052157,ENSMUSG00000020181
ENSG00000163840,ENSMMUG00000016383,ENSRNOG00000023400,ENSMUSG00000049502
ENSG00000109320,ENSMMUG00000003736,ENSRNOG00000023258,ENSMUSG00000028163
ENSG00000087074,ENSMMUG00000009223,ENSRNOG00000020938,ENSMUSG00000040435
ENSG00000138755,ENSMMUG00000020902,ENSRNOG00000022242,ENSMUSG00000029417
ENSG00000165949,ENSMMUG00000023780,ENSRNOG00000009263,ENSMUSG00000064215
ENSG00000110944,ENSMMUG00000031831,ENSRNOG00000003254,ENSMUSG00000025383
ENSG00000106346,ENSMMUG00000020321,ENSRNOG00000001059,ENSMUSG00000051306
ENSG00000132424,ENSMMUG00000005925,ENSRNOG00000008782,ENSMUSG00000028248
ENSG00000162924,ENSMMUG00000010834,ENSRNOG00000054437,ENSMUSG00000020275
ENSG00000184371,ENSMMUG00000002680,ENSRNOG00000018659,ENSMUSG00000014599
ENSG00000107968,ENSMMUG00000004930,ENSRNOG00000016378,ENSMUSG00000024235
ENSG00000102878,ENSMMUG00000005906,ENSRNOG00000015253,ENSMUSG00000033249
ENSG00000198886,ENSMMUG00000028677,ENSRNOG00000029707,ENSMUSG00000064363
ENSG00000057657,ENSMMUG00000021401,ENSRNOG00000000323,ENSMUSG00000038151
ENSG00000122257,ENSMMUG00000015908,ENSRNOG00000012806,ENSMUSG00000030779
ENSG00000132109,ENSMMUG00000004974,ENSRNOG00000018517,ENSMUSG00000030966
ENSG00000108342,ENSMMUG00000002923,ENSRNOG00000008525,ENSMUSG00000038067
ENSG00000003402,ENSMMUG00000012310,ENSRNOG00000012473,ENSMUSG00000026031
ENSG00000025708,ENSMMUG00000001765,ENSRNOG00000032394,ENSMUSG00000022615
ENSG00000170345,ENSMMUG00000010574,ENSRNOG00000008015,ENSMUSG00000021250
ENSG00000164136,ENSMMUG00000019092,ENSRNOG00000003439,ENSMUSG00000031712
ENSG00000060491,ENSMMUG00000016856,ENSRNOG00000009355,ENSMUSG00000049401
ENSG00000185215,ENSMMUG00000021634,ENSRNOG00000010165,ENSMUSG00000021281
ENSG00000184465,ENSMMUG00000015331,ENSRNOG00000015609,ENSMUSG00000046991
ENSG00000073756,ENSMMUG00000016857,ENSRNOG00000002525,ENSMUSG00000032487
ENSG00000137802,ENSMMUG00000003839,ENSRNOG00000007018,ENSMUSG00000033902
ENSG00000198804,ENSMMUG00000028689,ENSRNOG00000034234,ENSMUSG00000064351
ENSG00000108848,ENSMMUG00000010117,ENSRNOG00000002835,ENSMUSG00000020863
ENSG00000064932,ENSMMUG00000010886,ENSRNOG00000013987,ENSMUSG00000035673
ENSG00000176444,ENSMMUG00000023141,ENSRNOG00000020500,ENSMUSG00000068917
ENSG00000153234,ENSMMUG00000011607,ENSRNOG00000005600,ENSMUSG00000026826
ENSG00000272886,ENSMMUG00000011208,ENSRNOG00000016015,ENSMUSG00000021962
ENSG00000112096,ENSMMUG00000005885,ENSRNOG00000019048,ENSMUSG00000006818
ENSG00000144655,ENSMMUG00000020147,ENSRNOG00000033433,ENSMUSG00000032515
ENSG00000173918,ENSMMUG00000009504,ENSRNOG00000003259,ENSMUSG00000017446
ENSG00000185880,ENSMMUG00000020899,ENSRNOG00000017157,ENSMUSG00000033368
ENSG00000120217,ENSMMUG00000012235,ENSRNOG00000016112,ENSMUSG00000016496
ENSG00000140464,ENSMMUG00000002569,ENSRNOG00000008400,ENSMUSG00000036986
ENSG00000165494,ENSMMUG00000005029,ENSRNOG00000009891,ENSMUSG00000041328
ENSG00000266074,ENSMMUG00000018984,ENSRNOG00000043102,ENSMUSG00000039741
ENSG00000162692,ENSMMUG00000022906,ENSRNOG00000014333,ENSMUSG00000027962
ENSG00000173212,ENSMMUG00000000431,ENSRNOG00000016044,ENSMUSG00000044313
ENSG00000180828,ENSMMUG00000028979,ENSRNOG00000021745,ENSMUSG00000025128
ENSG00000003756,ENSMMUG00000004921,ENSRNOG00000018153,ENSMUSG00000032580
ENSG00000145365,ENSMMUG00000015589,ENSRNOG00000010941,ENSMUSG00000046688
ENSG00000176155,ENSMMUG00000012818,ENSRNOG00000047531,ENSMUSG00000048445
ENSG00000150630,ENSMMUG00000003748,ENSRNOG00000011416,ENSMUSG00000031520
ENSG00000140398,ENSMMUG00000013079,ENSRNOG00000018577,ENSMUSG00000032298
ENSG00000169248,ENSMMUG00000020904,ENSRNOG00000022298,ENSMUSG00000060183
ENSG00000213918,ENSMMUG00000021866,ENSRNOG00000006873,ENSMUSG00000005980
ENSG00000138135,ENSMMUG00000030520,ENSRNOG00000019141,ENSMUSG00000050370
ENSG00000197774,ENSMMUG00000018595,ENSRNOG00000024867,ENSMUSG00000073436
ENSG00000135111,ENSMMUG00000015070,ENSRNOG00000008706,ENSMUSG00000018604
ENSG00000138834,ENSMMUG00000017496,ENSRNOG00000033568,ENSMUSG00000024163
ENSG00000114857,ENSMMUG00000021242,ENSRNOG00000049128,ENSMUSG00000032525
ENSG00000178685,ENSMMUG00000000449,ENSRNOG00000004361,ENSMUSG00000063268
ENSG00000111011,ENSMMUG00000004412,ENSRNOG00000001238,ENSMUSG00000029422
ENSG00000159128,ENSMMUG00000005508,ENSRNOG00000002032,ENSMUSG00000022965
ENSG00000133106,ENSMMUG00000014926,ENSRNOG00000009471,ENSMUSG00000022014
ENSG00000167483,ENSMMUG00000000196,ENSRNOG00000039357,ENSMUSG00000043243
ENSG00000145632,ENSMMUG00000005177,ENSRNOG00000011951,ENSMUSG00000021701
ENSG00000147454,ENSMMUG00000016662,ENSRNOG00000015495,ENSMUSG00000034248
ENSG00000115919,ENSMMUG00000021330,ENSRNOG00000029993,ENSMUSG00000026866
ENSG00000132481,ENSMMUG00000009377,ENSRNOG00000008215,ENSMUSG00000020773
ENSG00000145777,ENSMMUG00000004669,ENSRNOG00000058856,ENSMUSG00000024379
ENSG00000102921,ENSMMUG00000018978,ENSRNOG00000015121,ENSMUSG00000031652
ENSG00000130813,ENSMMUG00000018138,ENSRNOG00000020580,ENSMUSG00000038884
ENSG00000119698,ENSMMUG00000021295,ENSRNOG00000054052,ENSMUSG00000021209
ENSG00000135473,ENSMMUG00000013482,ENSRNOG00000032441,ENSMUSG00000005682
ENSG00000171621,ENSMMUG00000002052,ENSRNOG00000017212,ENSMUSG00000039911
ENSG00000067082,ENSMMUG00000010696,ENSRNOG00000016885,ENSMUSG00000000078
ENSG00000113240,ENSMMUG00000004002,ENSRNOG00000003714,ENSMUSG00000020385
ENSG00000166012,ENSMMUG00000011646,ENSRNOG00000010921,ENSMUSG00000031939
ENSG00000164920,ENSMMUG00000022185,ENSRNOG00000011136,ENSMUSG00000022330
ENSG00000270379,ENSMMUG00000022233,ENSRNOG00000037100,ENSMUSG00000018925
ENSG00000225697,ENSMMUG00000031754,ENSRNOG00000020450,ENSMUSG00000023259
ENSG00000164400,ENSMMUG00000016915,ENSRNOG00000026805,ENSMUSG00000018916
ENSG00000168398,ENSMMUG00000006611,ENSRNOG00000047300,ENSMUSG00000021070
ENSG00000095951,ENSMMUG00000008560,ENSRNOG00000014460,ENSMUSG00000021366
ENSG00000145901,ENSMMUG00000021051,ENSRNOG00000010370,ENSMUSG00000020400
ENSG00000105559,ENSMMUG00000009222,ENSRNOG00000020942,ENSMUSG00000040428
ENSG00000178607,ENSMMUG00000015185,ENSRNOG00000012864,ENSMUSG00000020715
ENSG00000006062,ENSMMUG00000007863,ENSRNOG00000003278,ENSMUSG00000020941
ENSG00000113108,ENSMMUG00000001707,ENSRNOG00000017849,ENSMUSG00000006050
ENSG00000177606,ENSMMUG00000032072,ENSRNOG00000026293,ENSMUSG00000052684
ENSG00000137776,ENSMMUG00000022200,ENSRNOG00000054446,ENSMUSG00000032212
ENSG00000173846,ENSMMUG00000006582,ENSRNOG00000018484,ENSMUSG00000028680
ENSG00000158805,ENSMMUG00000002506,ENSRNOG00000016631,ENSMUSG00000001065
ENSG00000129595,ENSMMUG00000012192,ENSRNOG00000026050,ENSMUSG00000024376
ENSG00000160781,ENSMMUG00000000085,ENSRNOG00000026059,ENSMUSG00000041423
ENSG00000183718,ENSMMUG00000007598,ENSRNOG00000024509,ENSMUSG00000022113
ENSG00000132003,ENSMMUG00000017645,ENSRNOG00000007582,ENSMUSG00000035671
ENSG00000146457,ENSMMUG00000012837,ENSRNOG00000019091,ENSMUSG00000060475
